accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.3729,0.98,0,Resnet-32,CIFAR-100,0,conv1,1.214991807937622,0.3250835096522101,0.2973241297024225,0.3449074029922485,149.0,432.0
0.3729,0.98,0,Resnet-32,CIFAR-100,1,layer1.0.conv1,0.7051262855529785,0.10361322204846,0.0674618153888427,0.2135416716337204,492.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,2,layer1.0.conv2,0.2889593839645386,0.1512568451030799,0.0238369884258293,0.1701388955116272,392.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,3,layer1.1.conv1,1.077591508626938,0.1310648387312548,0.0718889251465463,0.2100694477558136,484.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,4,layer1.1.conv2,0.5339309573173523,0.1714424254940704,0.0687699542244612,0.1840277761220932,424.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,5,layer1.2.conv1,0.7288577953974406,0.2184137401262789,-0.039321875465357,0.1306423544883728,301.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,6,layer1.2.conv2,0.1284989118576049,0.0072410129384532,-0.02215392391128,0.109375,252.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,7,layer1.3.conv1,0.3546314239501953,0.0513764300527195,-0.0941821788379661,0.1336805522441864,308.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,8,layer1.3.conv2,0.1450863480567932,0.1599636058134915,-0.0922805362999934,0.0963541641831398,222.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,9,layer1.4.conv1,0.3924888372421264,0.0373902372166632,-0.0500676724565149,0.0894097238779068,206.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,10,layer1.4.conv2,0.1198997497558593,0.0815615401351504,-0.0437955110323994,0.0941840261220932,217.0,2304.0
0.3729,0.98,0,Resnet-32,CIFAR-100,11,layer2.0.conv1,,,-0.1724887073647049,0.0805121511220932,371.0,4608.0
0.3729,0.98,0,Resnet-32,CIFAR-100,12,layer2.0.conv2,0.1265836954116821,-0.0513448479760571,-0.2874088737211156,0.0376519113779068,347.0,9216.0
0.3729,0.98,0,Resnet-32,CIFAR-100,13,layer2.0.shortcut.0,,,0.1283477670105445,0.197265625,101.0,512.0
0.3729,0.98,0,Resnet-32,CIFAR-100,14,layer2.1.conv1,,,-0.2052780379140427,0.0343967005610466,317.0,9216.0
0.3729,0.98,0,Resnet-32,CIFAR-100,15,layer2.1.conv2,,,-0.2717034161159726,0.0402560755610466,371.0,9216.0
0.3729,0.98,0,Resnet-32,CIFAR-100,16,layer2.2.conv1,,,-0.280567119255822,0.0349392369389534,322.0,9216.0
0.3729,0.98,0,Resnet-32,CIFAR-100,17,layer2.2.conv2,,,-0.2868052829314723,0.022786458954215,210.0,9216.0
0.3729,0.98,0,Resnet-32,CIFAR-100,18,layer2.3.conv1,,,-0.3335809947183113,0.0186631940305233,172.0,9216.0
0.3729,0.98,0,Resnet-32,CIFAR-100,19,layer2.3.conv2,,,-0.3872587808855467,0.0210503470152616,194.0,9216.0
0.3729,0.98,0,Resnet-32,CIFAR-100,20,layer2.4.conv1,,,-0.2820827834679121,0.0211588535457849,195.0,9216.0
