accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.1758,0.98,0,Resnet-32,tinyimagenet,0,conv1,0.7255892753601074,0.1833817671547324,0.1772944944864126,0.3726851940155029,161.0,432.0
0.1758,0.98,0,Resnet-32,tinyimagenet,1,layer1.0.conv1,0.6075619161128998,0.1412484036043251,0.0973568215670579,0.2200520783662796,507.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,2,layer1.0.conv2,0.462216317653656,0.1134913811640205,0.0569098256644201,0.1953125,450.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,3,layer1.1.conv1,0.4880531231562297,0.1348961779002562,0.0779982379346993,0.1675347238779068,386.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,4,layer1.1.conv2,0.4083305199940999,0.1588690395858874,0.0712858035252988,0.1736111044883728,400.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,5,layer1.2.conv1,0.4220978418986003,0.1252120373479007,0.0549742867396248,0.1484375,342.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,6,layer1.2.conv2,0.3582568168640136,0.0474202245814501,0.004160584828629,0.1236979141831398,285.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,7,layer1.3.conv1,0.3922143876552582,0.0935569077921169,-0.0033845021708137,0.1354166716337204,312.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,8,layer1.3.conv2,0.0642976760864257,0.0271481841084555,0.0152668575153943,0.1085069477558136,250.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,9,layer1.4.conv1,0.6004014015197754,0.0021866222333033,-0.2020966076622791,0.0941840261220932,217.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,10,layer1.4.conv2,,,-0.0459204754749201,0.1002604141831398,231.0,2304.0
0.1758,0.98,0,Resnet-32,tinyimagenet,11,layer2.0.conv1,0.3738563060760498,-0.0058084317263381,-0.0879122068272668,0.1039496511220932,479.0,4608.0
