accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.8176,0.98,0,Resnet-32,CIFAR-10,0,conv1,,,0.2048782129441134,0.3657407462596893,158.0,432.0
0.8176,0.98,0,Resnet-32,CIFAR-10,1,layer1.0.conv1,0.4413180351257324,0.1391874615711051,0.0718975505644785,0.2374131977558136,547.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,2,layer1.0.conv2,0.4294745326042175,0.1900386095707716,0.0920100802231055,0.2139756977558136,493.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,3,layer1.1.conv1,0.4302427371342976,0.1095486492692962,0.0014736883276094,0.1818576455116272,419.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,4,layer1.1.conv2,0.5346323847770691,0.1328589002979771,0.0394189392341644,0.1848958283662796,426.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,5,layer1.2.conv1,0.3322426974773407,0.1473137692273118,0.0665453673123013,0.1701388955116272,392.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,6,layer1.2.conv2,0.2655295729637146,0.0733964362923775,0.0543671335752933,0.1532118022441864,353.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,7,layer1.3.conv1,0.4037500023841858,0.129491025470279,0.0034803019065329,0.1280381977558136,295.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,8,layer1.3.conv2,0.4505611658096313,0.0831210898588499,0.0350333105058211,0.1236979141831398,285.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,9,layer1.4.conv1,0.2523019313812256,0.1195355752614657,-0.069696250866341,0.1189236119389534,274.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,10,layer1.4.conv2,0.2428882718086242,0.1050038701577297,-0.0522223574747381,0.1050347238779068,242.0,2304.0
0.8176,0.98,0,Resnet-32,CIFAR-10,11,layer2.0.conv1,0.213375449180603,-0.0449709154087885,-0.0478151867084145,0.1078559011220932,497.0,4608.0
0.8176,0.98,0,Resnet-32,CIFAR-10,12,layer2.0.conv2,0.1972168684005737,-0.0676799899497481,-0.2456774841840132,0.05078125,468.0,9216.0
0.8176,0.98,0,Resnet-32,CIFAR-10,13,layer2.0.shortcut.0,,,0.0857508073333892,0.232421875,119.0,512.0
0.8176,0.98,0,Resnet-32,CIFAR-10,14,layer2.1.conv1,0.2700644731521606,-0.0995321336360105,-0.2602559125034212,0.0502387136220932,463.0,9216.0
