accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.7696,0.98,2,Resnet-20,CIFAR-10,1,layer1.0.conv1,0.6805795033772787,0.1528561247327521,0.0407159038633747,0.16796875,387.0,2304.0
0.7696,0.98,2,Resnet-20,CIFAR-10,2,layer1.0.conv2,0.327206293741862,0.1219973901321607,-0.0109707109730693,0.1697048544883728,391.0,2304.0
0.7696,0.98,2,Resnet-20,CIFAR-10,3,layer1.1.conv1,0.5776659250259399,0.038087037169177,-0.0641704585423146,0.1219618022441864,281.0,2304.0
0.7696,0.98,2,Resnet-20,CIFAR-10,4,layer1.1.conv2,0.4289535284042358,0.0488375904320579,-0.0515917211320159,0.1176215261220932,271.0,2304.0
0.7696,0.98,2,Resnet-20,CIFAR-10,5,layer1.2.conv1,0.3130558729171753,0.128838233091853,-0.039730615493251,0.1223958358168602,282.0,2304.0
0.7696,0.98,2,Resnet-20,CIFAR-10,6,layer1.2.conv2,0.2715446949005127,0.0551549303110976,-0.044016079732373,0.0993923619389534,229.0,2304.0
0.7696,0.98,2,Resnet-20,CIFAR-10,7,layer2.0.conv1,0.2412630319595337,0.015324071002868,-0.197542344291169,0.0779079869389534,359.0,4608.0
0.7696,0.98,2,Resnet-20,CIFAR-10,8,layer2.0.conv2,0.3840323686599731,-0.1712882064355092,-0.4281365824609736,0.0413411445915699,381.0,9216.0
0.7696,0.98,2,Resnet-20,CIFAR-10,9,layer2.0.shortcut.0,,,0.1008050159551961,0.22265625,114.0,512.0
0.7696,0.98,2,Resnet-20,CIFAR-10,10,layer2.1.conv1,,,-0.4451426523564336,0.0270182285457849,249.0,9216.0
0.7696,0.98,2,Resnet-20,CIFAR-10,11,layer2.1.conv2,,,-0.3345737637516551,0.0223524309694767,206.0,9216.0
0.7696,0.98,2,Resnet-20,CIFAR-10,12,layer2.2.conv1,0.1649854183197021,-0.0230869480719922,-0.3066806822557082,0.0211588535457849,195.0,9216.0
0.7696,0.98,2,Resnet-20,CIFAR-10,13,layer2.2.conv2,,,-0.3001587776647179,0.019856771454215,183.0,9216.0
0.7696,0.98,2,Resnet-20,CIFAR-10,14,layer3.0.conv1,,,-0.4459810733837941,0.0101996529847383,188.0,18432.0
0.7696,0.98,2,Resnet-20,CIFAR-10,15,layer3.0.conv2,,,-0.5636323926991181,0.0035264757461845,130.0,36864.0
0.7696,0.98,2,Resnet-20,CIFAR-10,16,layer3.0.shortcut.0,,,-0.1204678654859418,0.0751953125,154.0,2048.0
0.7696,0.98,2,Resnet-20,CIFAR-10,17,layer3.1.conv1,,,-0.7136172590039855,0.0037163628730922,137.0,36864.0
0.7696,0.98,2,Resnet-20,CIFAR-10,18,layer3.1.conv2,,,-0.7329652548082269,0.0047200522385537,174.0,36864.0
0.7696,0.98,2,Resnet-20,CIFAR-10,19,layer3.2.conv1,,,-0.3252595808396333,0.0057237413711845,211.0,36864.0
0.7696,0.98,2,Resnet-20,CIFAR-10,20,layer3.2.conv2,0.1469160318374633,-0.0442897460040619,-0.4328945571428622,0.0129665797576308,478.0,36864.0
0.7696,0.98,2,Resnet-20,CIFAR-10,21,linear,1.4553200602531433,0.272467074895647,0.2929434409974648,0.434374988079071,278.0,640.0
0.7621,0.98,0,Resnet-20,CIFAR-10,0,conv1,0.8893680572509766,0.474953337088964,0.4176602236031307,0.4976851940155029,215.0,432.0
0.7621,0.98,0,Resnet-20,CIFAR-10,1,layer1.0.conv1,1.0182539621988933,0.4580193382292082,0.2467941867367948,0.1263020783662796,291.0,2304.0
0.7621,0.98,0,Resnet-20,CIFAR-10,2,layer1.0.conv2,0.6887012422084808,0.2920348998336842,0.3128262257231666,0.1119791641831398,258.0,2304.0
0.7621,0.98,0,Resnet-20,CIFAR-10,3,layer1.1.conv1,0.857608824968338,0.3249205109418221,0.2171908665370486,0.1241319477558136,286.0,2304.0
0.7621,0.98,0,Resnet-20,CIFAR-10,4,layer1.1.conv2,0.8143783211708069,0.3584650251805816,0.3108479136036966,0.1184895858168602,273.0,2304.0
0.7621,0.98,0,Resnet-20,CIFAR-10,5,layer1.2.conv1,1.140216737985611,0.3950081356355461,0.2979989955044563,0.1202256977558136,277.0,2304.0
0.7621,0.98,0,Resnet-20,CIFAR-10,6,layer1.2.conv2,0.8156501054763794,0.3964073609982775,0.3318227831443837,0.1137152761220932,262.0,2304.0
