accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.129,0.98,0,Resnet-20,tinyimagenet,0,conv1,,,0.2589573381679699,0.3379629552364349,146.0,432.0
0.129,0.98,0,Resnet-20,tinyimagenet,1,layer1.0.conv1,0.7536033987998962,0.1207687926741613,-0.0319058531852365,0.1458333283662796,336.0,2304.0
0.129,0.98,0,Resnet-20,tinyimagenet,2,layer1.0.conv2,0.5508526166280111,0.1638481965208329,0.039469395107878,0.1636284738779068,377.0,2304.0
0.129,0.98,0,Resnet-20,tinyimagenet,3,layer1.1.conv1,0.4817594687143962,0.1849007091535383,-0.018185556300052,0.1467013955116272,338.0,2304.0
0.129,0.98,0,Resnet-20,tinyimagenet,4,layer1.1.conv2,0.2690551877021789,0.1238665859641243,-0.0627837747516454,0.109375,252.0,2304.0
0.129,0.98,0,Resnet-20,tinyimagenet,5,layer1.2.conv1,0.3971424698829651,0.0975832492686425,-0.1950614204232336,0.0850694477558136,196.0,2304.0
0.129,0.98,0,Resnet-20,tinyimagenet,6,layer1.2.conv2,,,-0.0476137194919624,0.0833333358168602,192.0,2304.0
0.129,0.98,0,Resnet-20,tinyimagenet,7,layer2.0.conv1,,,-0.1824740036688858,0.0616319440305233,284.0,4608.0
0.129,0.98,0,Resnet-20,tinyimagenet,8,layer2.0.conv2,,,-0.3468166550467222,0.0285373255610466,263.0,9216.0
0.129,0.98,0,Resnet-20,tinyimagenet,9,layer2.0.shortcut.0,,,-0.03900149594571,0.173828125,89.0,512.0
0.129,0.98,0,Resnet-20,tinyimagenet,10,layer2.1.conv1,,,-0.4367891218047898,0.0194227434694767,179.0,9216.0
0.129,0.98,0,Resnet-20,tinyimagenet,11,layer2.1.conv2,,,-0.1784810185000715,0.0259331595152616,239.0,9216.0
0.129,0.98,0,Resnet-20,tinyimagenet,12,layer2.2.conv1,,,-0.3195803439582253,0.0180121529847383,166.0,9216.0
0.129,0.98,0,Resnet-20,tinyimagenet,13,layer2.2.conv2,,,-0.5276833083606383,0.027669271454215,255.0,9216.0
0.129,0.98,0,Resnet-20,tinyimagenet,14,layer3.0.conv1,,,-0.4319563325553648,0.0109049482271075,201.0,18432.0
0.129,0.98,0,Resnet-20,tinyimagenet,15,layer3.0.conv2,,,-0.5235741749668961,0.0050184461288154,185.0,36864.0
0.129,0.98,0,Resnet-20,tinyimagenet,16,layer3.0.shortcut.0,,,-0.1851202221999003,0.0751953125,154.0,2048.0
0.129,0.98,0,Resnet-20,tinyimagenet,17,layer3.1.conv1,,,-0.56583290104704,0.0035536023788154,131.0,36864.0
0.129,0.98,0,Resnet-20,tinyimagenet,18,layer3.1.conv2,,,-0.723110092050696,0.0060763889923691,224.0,36864.0
0.129,0.98,0,Resnet-20,tinyimagenet,19,layer3.2.conv1,,,-0.4990006708429095,0.0057237413711845,211.0,36864.0
0.129,0.98,0,Resnet-20,tinyimagenet,20,layer3.2.conv2,0.085373044013977,0.0942740144185066,-0.8485612850312633,0.0080837672576308,298.0,36864.0
0.129,0.98,0,Resnet-20,tinyimagenet,21,linear,,,-0.2335489920243377,0.0739843770861625,947.0,12800.0
0.1344,0.98,1,Resnet-20,tinyimagenet,0,conv1,,,0.2052579012621601,0.2962962985038757,128.0,432.0
0.1344,0.98,1,Resnet-20,tinyimagenet,1,layer1.0.conv1,0.577670176823934,0.1351570740987435,0.0216958596222799,0.1610243022441864,371.0,2304.0
0.1344,0.98,1,Resnet-20,tinyimagenet,2,layer1.0.conv2,0.1747432947158813,0.1258591370044514,-0.0265911223880753,0.140625,324.0,2304.0
0.1344,0.98,1,Resnet-20,tinyimagenet,3,layer1.1.conv1,0.5573040544986725,0.1052850699548627,-0.0375068453944073,0.1106770858168602,255.0,2304.0
0.1344,0.98,1,Resnet-20,tinyimagenet,4,layer1.1.conv2,0.3523840308189392,0.0959527560341308,-0.0395083880208503,0.1119791641831398,258.0,2304.0
0.1344,0.98,1,Resnet-20,tinyimagenet,5,layer1.2.conv1,0.2518306672573089,0.0876661242934914,-0.0326522062244238,0.0954861119389534,220.0,2304.0
0.1344,0.98,1,Resnet-20,tinyimagenet,6,layer1.2.conv2,,,-0.1759374596128939,0.0464409738779068,107.0,2304.0
0.1344,0.98,1,Resnet-20,tinyimagenet,7,layer2.0.conv1,,,-0.2359846529709004,0.0544704869389534,251.0,4608.0
0.1344,0.98,1,Resnet-20,tinyimagenet,8,layer2.0.conv2,,,-0.3154652898484704,0.0254991315305233,235.0,9216.0
0.1344,0.98,1,Resnet-20,tinyimagenet,9,layer2.0.shortcut.0,,,0.0919382100181312,0.19140625,98.0,512.0
0.1344,0.98,1,Resnet-20,tinyimagenet,10,layer2.1.conv1,,,-0.2530247982104148,0.0268012154847383,247.0,9216.0
0.1344,0.98,1,Resnet-20,tinyimagenet,11,layer2.1.conv2,,,-0.2244765729341817,0.0340711809694767,314.0,9216.0
0.1344,0.98,1,Resnet-20,tinyimagenet,12,layer2.2.conv1,,,-0.4432801374856043,0.0146484375,135.0,9216.0
0.1344,0.98,1,Resnet-20,tinyimagenet,13,layer2.2.conv2,,,-0.3757175553149758,0.0142144095152616,131.0,9216.0
0.1344,0.98,1,Resnet-20,tinyimagenet,14,layer3.0.conv1,,,-0.4246868456009646,0.0130208330228924,240.0,18432.0
0.1344,0.98,1,Resnet-20,tinyimagenet,15,layer3.0.conv2,,,-0.4150283253142335,0.0043402779847383,160.0,36864.0
0.1344,0.98,1,Resnet-20,tinyimagenet,16,layer3.0.shortcut.0,,,-0.123782588983971,0.07666015625,157.0,2048.0
0.1344,0.98,1,Resnet-20,tinyimagenet,17,layer3.1.conv1,,,-0.423607626471043,0.0044759116135537,165.0,36864.0
0.1344,0.98,1,Resnet-20,tinyimagenet,18,layer3.1.conv2,,,-0.8985459800472673,0.0075141061097383,277.0,36864.0
0.1344,0.98,1,Resnet-20,tinyimagenet,19,layer3.2.conv1,,,-0.4444784574690961,0.0091417096555233,337.0,36864.0
0.1344,0.98,1,Resnet-20,tinyimagenet,20,layer3.2.conv2,,,-0.572752815802759,0.0080837672576308,298.0,36864.0
0.1344,0.98,1,Resnet-20,tinyimagenet,21,linear,,,-0.2378797948264373,0.0746093764901161,955.0,12800.0
0.126,0.98,2,Resnet-20,tinyimagenet,0,conv1,,,0.2060647830829214,0.3611111044883728,156.0,432.0
0.126,0.98,2,Resnet-20,tinyimagenet,1,layer1.0.conv1,0.5175051093101501,0.1771511939673892,0.0779855341612709,0.2239583283662796,516.0,2304.0
0.126,0.98,2,Resnet-20,tinyimagenet,2,layer1.0.conv2,0.7012312809626261,0.0898718074666691,0.0813458720819195,0.2092013955116272,482.0,2304.0
0.126,0.98,2,Resnet-20,tinyimagenet,3,layer1.1.conv1,0.3785713315010071,0.0714438456556819,0.0397916816770603,0.1423611044883728,328.0,2304.0
0.126,0.98,2,Resnet-20,tinyimagenet,4,layer1.1.conv2,0.185159832239151,0.1177070366242242,0.043777205184756,0.1189236119389534,274.0,2304.0
0.126,0.98,2,Resnet-20,tinyimagenet,5,layer1.2.conv1,0.188513696193695,0.0754416293618297,0.0012872841020576,0.1345486044883728,310.0,2304.0
0.126,0.98,2,Resnet-20,tinyimagenet,6,layer1.2.conv2,0.1879463195800781,0.0271574589859745,-0.0230106828324228,0.0911458358168602,210.0,2304.0
0.126,0.98,2,Resnet-20,tinyimagenet,7,layer2.0.conv1,,,-0.1881584238727425,0.0690104141831398,318.0,4608.0
0.126,0.98,2,Resnet-20,tinyimagenet,8,layer2.0.conv2,,,-0.4055963831260888,0.0295138880610466,272.0,9216.0
0.126,0.98,2,Resnet-20,tinyimagenet,9,layer2.0.shortcut.0,,,0.0746072991247436,0.2265625,116.0,512.0
0.126,0.98,2,Resnet-20,tinyimagenet,10,layer2.1.conv1,,,-0.2699057789484495,0.0260416660457849,240.0,9216.0
0.126,0.98,2,Resnet-20,tinyimagenet,11,layer2.1.conv2,,,-0.2933104460452911,0.0223524309694767,206.0,9216.0
0.126,0.98,2,Resnet-20,tinyimagenet,12,layer2.2.conv1,,,-0.3142759096709138,0.0192057285457849,177.0,9216.0
0.126,0.98,2,Resnet-20,tinyimagenet,13,layer2.2.conv2,,,-0.2460805565468238,0.0199652779847383,184.0,9216.0
0.126,0.98,2,Resnet-20,tinyimagenet,14,layer3.0.conv1,,,-0.5888585844922531,0.0077039930038154,142.0,18432.0
0.126,0.98,2,Resnet-20,tinyimagenet,15,layer3.0.conv2,,,-0.6959742641044805,0.0040418836288154,149.0,36864.0
0.126,0.98,2,Resnet-20,tinyimagenet,16,layer3.0.shortcut.0,,,-0.1752015513349491,0.07763671875,159.0,2048.0
