accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.3173,0.98,0,Resnet-20,CIFAR-100,0,conv1,1.1817092895507812,0.2951424498472672,0.1754383544927251,0.3287037014961242,142.0,432.0
0.3173,0.98,0,Resnet-20,CIFAR-100,1,layer1.0.conv1,1.0712664127349854,0.1022321146847021,-0.0008406246201727,0.1341145783662796,309.0,2304.0
0.3173,0.98,0,Resnet-20,CIFAR-100,2,layer1.0.conv2,0.8591883977254232,0.1301340246987628,0.0168468232270206,0.1644965261220932,379.0,2304.0
0.3173,0.98,0,Resnet-20,CIFAR-100,3,layer1.1.conv1,0.8550307750701904,-0.0677821517272368,-0.07591319360714,0.1119791641831398,258.0,2304.0
0.3173,0.98,0,Resnet-20,CIFAR-100,4,layer1.1.conv2,0.4206042289733886,0.0951186401598295,-0.0453097155785612,0.1141493022441864,263.0,2304.0
0.3173,0.98,0,Resnet-20,CIFAR-100,5,layer1.2.conv1,0.3763182163238525,0.1535565879632705,0.0052843751008704,0.0985243022441864,227.0,2304.0
0.3173,0.98,0,Resnet-20,CIFAR-100,6,layer1.2.conv2,0.3507707118988037,0.0156550989725642,-0.0681631641061358,0.0933159738779068,215.0,2304.0
0.3173,0.98,0,Resnet-20,CIFAR-100,7,layer2.0.conv1,,,-0.1863119059078123,0.0607638880610466,280.0,4608.0
0.3173,0.98,0,Resnet-20,CIFAR-100,8,layer2.0.conv2,,,-0.3480907783231712,0.0246310755610466,227.0,9216.0
0.3173,0.98,0,Resnet-20,CIFAR-100,9,layer2.0.shortcut.0,,,0.070904419047252,0.1796875,92.0,512.0
0.3173,0.98,0,Resnet-20,CIFAR-100,10,layer2.1.conv1,,,-0.2559406578553682,0.0268012154847383,247.0,9216.0
0.3173,0.98,0,Resnet-20,CIFAR-100,11,layer2.1.conv2,,,-0.4624613727727321,0.0299479160457849,276.0,9216.0
0.3173,0.98,0,Resnet-20,CIFAR-100,12,layer2.2.conv1,,,-0.2916699537295404,0.0202907994389534,187.0,9216.0
0.3173,0.98,0,Resnet-20,CIFAR-100,13,layer2.2.conv2,,,-0.2810867703665551,0.0197482630610466,182.0,9216.0
0.3173,0.98,0,Resnet-20,CIFAR-100,14,layer3.0.conv1,,,-0.458618726235565,0.0101996529847383,188.0,18432.0
0.3173,0.98,0,Resnet-20,CIFAR-100,15,layer3.0.conv2,,,-0.44469710711162,0.0052354601211845,193.0,36864.0
0.3173,0.98,0,Resnet-20,CIFAR-100,16,layer3.0.shortcut.0,,,-0.117150811518685,0.08740234375,179.0,2048.0
0.3173,0.98,0,Resnet-20,CIFAR-100,17,layer3.1.conv1,,,-0.6477987314273838,0.0043131508864462,159.0,36864.0
0.3173,0.98,0,Resnet-20,CIFAR-100,18,layer3.1.conv2,,,-0.5472698292243904,0.0056423610076308,208.0,36864.0
0.3173,0.98,0,Resnet-20,CIFAR-100,19,layer3.2.conv1,,,-0.4989363326856218,0.0058322483673691,215.0,36864.0
