accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,0,conv1,0.3333333432674408,19,45,45,1.0,0.13157894736842105,0.2631578947368421,4.7368421052631575,2.3684210526315788,2.3684210526315788,15,2,0,0,,357,,6,-3465,0,15,0,3.3684210526315788,3.3684210526315788,7.151439064427426,3.575719532213713,2.8421052631578947,,1,1,19,19,19,19,19.0,19.0,,0.6435716161921233,1.0,0.0,3.3750874589622724,0.0,8.170787935672047,0.8282353191425487,0.7879039059274188,5.557438524302002,17.87400787401181,4.9108967781066895,27.265865595552754
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,1,layer1.0.conv1,0.1579861044883728,32,169,166,0.9822485207100592,0.17036290322580644,0.3407258064516129,10.5625,5.28125,5.28125,16,7,0,0,-0.1127398821697473,1706,,6,-3452,0,59,0,6.28125,6.28125,6.334921836853027,3.1674609184265137,7.84375,,1,1,32,32,32,32,32.0,32.0,,0.58408577850173,-0.013388230221571509,4.440892098500626e-16,15.998370529666513,0.0,12.716565027356937,0.6265481749720039,0.4715751818016279,7.701003152173332,23.097529008822725,3.5067038536071777,17.215901693303422
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,2,layer1.0.conv2,0.1436631977558136,32,162,162,1.0,0.16330645161290322,0.32661290322580644,10.125,5.0625,5.0625,15,4,0,0,-0.0820579326139389,1587,,6,-3452,0,41,0,6.0625,6.0625,5.280249834060669,2.6401249170303345,6.84375,,1,1,32,32,32,32,32.0,32.0,,0.596077827478314,-0.027126346635047857,2.220446049250313e-16,15.057581973219682,2.384185791015625e-07,10.101085783451165,0.6171020345488646,0.462305036589661,7.401771799934948,22.496259244179157,2.966876745223999,13.414973132607686
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,3,layer1.1.conv1,0.1319444477558136,32,149,149,1.0,0.1502016129032258,0.3004032258064516,9.3125,4.65625,4.65625,14,3,0,0,-0.0259776279287826,1353,,6,-3452,0,41,0,5.65625,5.65625,5.107669830322266,2.553834915161133,6.5,,1,1,32,32,32,32,32.0,32.0,,0.5038444702896008,-0.001464306117371663,0.0,14.034751318461218,0.0,8.575013973717368,0.6105821719167517,0.45761666741008805,6.815766317743167,21.071481761236086,2.80727481842041,12.549618206641313
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,4,layer1.1.conv2,0.1085069477558136,32,149,145,0.9731543624161074,0.1502016129032258,0.3004032258064516,9.3125,4.65625,4.65625,15,4,0,0,-0.13864308938188533,1328,,6,-3452,0,45,0,5.65625,5.65625,4.40653133392334,2.20326566696167,6.75,,1,1,32,32,32,32,32.0,32.0,,0.4073387845280581,-0.006984987869513492,0.0,13.025751839863467,0.0,6.851336232456158,0.5728766252508048,0.39788662900423816,6.282783482175781,20.676887972766792,2.2118372917175293,10.304592705577516
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,5,layer1.2.conv1,0.1184895858168602,32,151,149,0.9867549668874173,0.15221774193548387,0.30443548387096775,9.4375,4.71875,4.71875,14,6,0,0,-0.10293588035493616,1351,,6,-3452,0,48,0,5.71875,5.71875,4.6317901611328125,2.3158950805664062,6.84375,,1,1,32,32,32,32,32.0,32.0,,0.3907903046724123,-0.011257089323778429,0.0,13.972715984743393,1.1920928955078125e-07,8.216522487323264,0.6109988139214038,0.44915732300573313,6.625109304692701,20.764070671774903,2.343771457672119,10.795701323358188
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,6,layer1.2.conv2,0.0868055522441864,32,128,128,1.0,0.12903225806451613,0.25806451612903225,8.0,4.0,4.0,13,2,0,0,-0.15331747416260175,1003,,6,-3452,0,42,0,5.0,5.0,3.683659076690674,1.841829538345337,5.6875,,1,1,32,32,32,32,32.0,32.0,,0.7310479383689585,1.0,1.1102230246251565e-16,12.009596672529158,1.1920928955078125e-07,5.296066792756625,0.57269705028412,0.40612848637545307,5.455779876279946,18.576465484397193,1.7508952617645264,8.968075161825617
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,7,layer2.0.conv1,0.0679253488779068,48,215,210,0.9767441860465116,0.09530141843971632,0.19060283687943264,8.958333333333334,4.479166666666667,4.479166666666667,19,0,0,0,-0.10094557227923481,2184,,21,-3452,1,151,0,5.479166666666667,5.479166666666667,3.8578646977742515,1.9289323488871257,6.166666666666667,,2,2,47,47,1,1,24.0,24.0,,0.22656035064180208,-0.050682422664443116,0.0,12.990906319993758,0.0,5.776767946881881,0.5257224452102933,0.3717695365464652,6.740045731340763,23.813059080906932,2.2759902477264404,11.355448433125241
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,8,layer2.0.conv2,0.0325520820915699,64,230,224,0.9739130434782609,0.05704365079365079,0.11408730158730158,7.1875,3.59375,3.59375,15,0,0,0,-0.0030441898189328704,1829,,22,-3437,1,153,0,4.59375,4.59375,2.9936985969543457,1.4968492984771729,4.265625,,2,2,63,63,1,1,32.0,32.0,,0.37480056158152586,-2.3422664683919867e-05,0.0,14.106689188138219,0.0,6.860047736708704,0.3956370889242386,0.2215045770648335,4.6402501954689,20.330149299072662,1.571230173110962,8.78273690843863
0.7732,grasp,0.98,Resnet-20,CIFAR-10,0,9,layer2.0.shortcut.0,0.189453125,48,97,95,0.979381443298969,0.042996453900709226,0.08599290780141845,4.041666666666667,2.0208333333333335,2.0208333333333335,10,1,3,3,0.028852684449420424,413,,22,-3452,0,63,0,3.0208333333333335,3.0208333333333335,1.283225695292155,0.6416128476460775,2.6041666666666665,,1,1,48,48,48,48,48.0,48.0,,-0.12630067757597163,-0.007432111896551199,0.0,5.100624081702838,5.960464477539063e-08,2.5250351331393603,0.3574032926783045,0.14636250080243673,1.5934284850507652,12.213971443280505,0.5461111068725586,5.651978511231085
