accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,0,conv1,0.4097222089767456,19,48,48,1.0,0.14035087719298245,0.2807017543859649,5.052631578947368,2.526315789473684,2.526315789473684,16,3,0,0,,408,,6,-3465,0,15,0,3.526315789473684,3.526315789473684,2.6043315686677633,1.3021657843338816,3.0,,1,1,19,19,19,19,19.0,19.0,,0.7356933462091323,1.0,1.1102230246251565e-16,3.4925094349472507,2.9802322387695312e-08,3.2351325966652458,1.0,1.0,6.928203230275509,19.000000000000004,2.3543996810913086,10.069591098181645
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,1,block1.layer.0.conv1,0.2921006977558136,48,472,441,0.934322033898305,0.2092198581560284,0.4184397163120568,19.666666666666668,9.833333333333334,9.833333333333334,32,9,0,0,-0.05622464077898689,10028,,22,-3452,0,303,0,10.833333333333334,10.833333333333334,3.020869572957357,1.5104347864786785,14.541666666666666,,1,1,48,48,48,48,48.0,48.0,,-0.34082913142151794,-0.5094374288826976,8.881784197001252e-16,16.020539299718845,0.0,3.7659097479949946,0.7855770808268067,0.7032323374690576,18.3566329950508,44.63262851860475,2.191699504852295,7.314785406868343
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,2,block1.layer.0.conv2,0.2469618022441864,64,866,776,0.8960739030023095,0.21478174603174602,0.42956349206349204,27.0625,13.53125,13.53125,32,19,0,0,-0.0733722978149829,22841,,22,-3436,0,565,0,14.53125,14.53125,3.2372892424464226,1.6186446212232113,21.953125,,1,1,64,64,64,64,64.0,64.0,,0.2451243200971858,-0.28205149738864876,0.0,31.26046094888467,0.0,4.480175658897418,0.7139574242408662,0.5938996254914378,23.187099865888783,55.21458226635571,2.3404250144958496,6.990254519333644
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,3,block1.layer.0.convShortcut,0.365234375,48,187,184,0.983957219251337,0.08289007092198582,0.16578014184397163,7.791666666666667,3.8958333333333335,3.8958333333333335,20,3,0,0,-0.05821286397290805,1622,,22,-3452,0,127,0,4.895833333333333,4.895833333333333,0.683185746272405,0.3415928731362025,4.75,,1,1,48,48,48,48,48.0,48.0,,0.2918627227106936,-0.01479890572314937,0.0,10.133101591102882,0.0,1.4673221839125619,0.4891189283946814,0.31511109655654246,5.212476782439523,22.2090740261321,0.39517027139663696,2.3581764511158365
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,4,block1.layer.1.conv1,0.2000868022441864,64,818,733,0.8960880195599022,0.20287698412698413,0.40575396825396826,25.5625,12.78125,12.78125,32,16,0,0,-0.0651991232404394,20413,,22,-3436,0,537,0,13.78125,13.78125,2.8235857784748077,1.4117928892374039,20.765625,,1,1,64,64,64,64,64.0,64.0,,0.6297879982859623,-0.02349542513961173,0.0,32.0465411795644,0.0,3.6979064289577703,0.6873943444873154,0.5567946368822855,21.510211334374024,52.52042194931799,2.0200722217559814,6.897590280117939
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,5,block1.layer.1.conv2,0.1807725727558136,64,766,695,0.9073107049608355,0.18998015873015872,0.37996031746031744,23.9375,11.96875,11.96875,31,15,0,0,-0.09763289662177832,17996,,22,-3436,0,512,0,12.96875,12.96875,2.638571187853813,1.3192855939269066,18.75,,1,1,64,64,64,64,64.0,64.0,,0.682661803306613,-0.0011792397512706608,4.440892098500626e-16,31.024668537362977,2.9802322387695312e-08,4.90134498612382,0.6799561434797118,0.5475361125943724,20.070296196399596,49.78531096206502,1.8797321319580078,6.22910080180751
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,6,block1.layer.2.conv1,0.1500651091337204,64,707,650,0.9193776520509194,0.1753472222222222,0.3506944444444444,22.09375,11.046875,11.046875,30,9,0,0,-0.00825740075424025,15437,,22,-3436,0,450,0,12.046875,12.046875,2.2880541272461414,1.1440270636230707,16.546875,,1,1,64,64,64,64,64.0,64.0,,0.45442924001021395,-0.1028724516357005,0.0,30.087413003082816,2.9802322387695312e-08,3.382955701481698,0.6575511356905306,0.5184320386052516,18.338124831632747,46.758887944034385,1.70960533618927,5.275913587672244
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,7,block1.layer.2.conv2,0.1421440988779068,64,696,634,0.9109195402298851,0.17261904761904762,0.34523809523809523,21.75,10.875,10.875,29,14,0,0,-0.0776739882775545,15028,,22,-3436,0,458,0,11.875,11.875,2.387796014547348,1.193898007273674,14.9375,,1,1,64,64,64,64,64.0,64.0,,0.5324544156163525,-0.05526619307567585,0.0,27.09664851326089,0.0,3.8603332026072747,0.6449209115635782,0.5013211181311803,17.91784895571608,46.35281412981984,1.7341946363449097,5.618015272317169
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,8,block1.layer.3.conv1,0.1345486044883728,64,687,637,0.9272197962154294,0.17038690476190477,0.34077380952380953,21.46875,10.734375,10.734375,29,9,0,0,-0.011593633183173389,14561,,22,-3436,0,460,0,11.734375,11.734375,2.2149131316691637,1.1074565658345819,15.640625,,1,1,64,64,64,64,64.0,64.0,,0.08860455716025709,-0.3134355511351127,0.0,28.06337589762152,0.0,3.5213336690791834,0.6268336371457431,0.4751111485066416,17.36373414537152,45.377855685619885,1.520350456237793,5.9446230464574805
0.8797,grasp,0.98,Wide-Resnet-28-2,CIFAR-10,0,9,block1.layer.3.conv2,0.1340060830116272,64,679,627,0.9234167893961709,0.1684027777777778,0.3368055555555556,21.21875,10.609375,10.609375,31,11,0,0,-0.10790467157910681,14358,,22,-3436,0,447,0,11.609375,11.609375,2.344769239425659,1.1723846197128296,15.609375,,1,1,64,64,64,64,64.0,64.0,,0.34399471580979546,-0.16115689432999677,8.881784197001252e-16,31.04981539075036,0.0,3.777750843817066,0.6375413594449337,0.49173793304659436,17.406986926734742,45.60721234911188,1.6459662914276123,5.423119476581952
