accuracy,pruning,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,cut-edges,motif,no_connected_components,mean_connected_components,avg_node_strength,1-hop_nei,cut-nodes,k-core,spectral_gap,spectral_radius
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,24,layer3.0.shortcut.0,0.09228515625,96,189,10,835,4,24.0,1.723891019821167,2.96875,9,2.427083333333333,0.4468027353286743,5.404428882215248
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,25,layer3.1.conv1,0.0022243922576308,128,80,48,153,55,2.327272727272727,0.2745231539011001,1.625,29,0.8125,0.9030536413192748,5.109978258246763
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,26,layer3.1.conv2,0.0021158854942768,128,73,50,109,59,2.169491525423729,0.1375287715345621,1.5703125,32,0.7890625,0.1933148503303527,1.8405611658204195
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,27,layer3.2.conv1,0.0022515191230922,128,80,31,174,63,2.031746031746032,0.2769706398248672,1.625,20,0.8515625,1.0528987646102903,5.107153629455055
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,28,layer3.2.conv2,0.0022786457557231,128,75,40,151,62,2.064516129032258,0.1832191366702318,1.5859375,21,0.8046875,0.3645421266555786,2.470345491529505
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,29,layer3.3.conv1,0.0018988715019077,128,66,59,91,64,2.0,0.1639545988291502,1.515625,30,0.640625,0.0171787142753601,2.129754988060524
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,30,layer3.3.conv2,0.0022515191230922,128,74,41,167,63,2.031746031746032,0.2106232587248087,1.578125,28,0.75,0.0780644416809082,2.717726653387892
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,31,layer3.4.conv1,0.0022243922576308,128,72,40,146,64,2.0,0.2250242894515395,1.5625,25,0.7421875,0.4931451082229614,3.962476120808177
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,32,layer3.4.conv2,0.0021158854942768,128,67,48,160,68,1.8823529411764703,0.1323778200894594,1.5234375,22,0.65625,0.2162050008773803,3.014359733789653
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,33,linear,0.0850000008940696,264,1088,18,14288,2,132.0,5.763211897828362,5.121212121212121,15,4.659090909090909,2.712583541870117,28.44604206903305
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,0,conv1,0.3541666567325592,19,47,0,391,1,19.0,6.1113538240131575,3.473684210526316,0,2.9473684210526314,5.266714096069336,23.93317130773958
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,1,layer1.0.conv1,0.2361111044883728,32,215,0,2702,1,32.0,6.342357635498047,7.71875,0,11.0,3.516735553741455,14.19631469086166
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,2,layer1.0.conv2,0.19921875,32,207,0,2515,1,32.0,5.880262613296509,7.46875,0,9.9375,3.58829402923584,12.671992722269318
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,3,layer1.1.conv1,0.1940104216337204,32,206,0,2497,1,32.0,5.96869421005249,7.4375,0,9.96875,2.8979268074035645,15.124365587450702
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,4,layer1.1.conv2,0.1818576455116272,32,191,0,2172,1,32.0,4.902740478515625,6.96875,0,8.75,2.8634815216064453,10.921241969492876
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,5,layer1.2.conv1,0.1723090261220932,32,182,0,2017,1,32.0,4.724736213684082,6.6875,0,8.46875,3.3178746700286865,11.760266312151074
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,6,layer1.2.conv2,0.1150173619389534,32,149,0,1321,1,32.0,3.522422313690185,5.65625,0,6.78125,1.86932110786438,8.81489354450252
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,7,layer1.3.conv1,0.1315104216337204,32,176,0,1841,1,32.0,4.119797229766846,6.5,0,7.78125,2.459814071655273,10.043145498230524
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,8,layer1.3.conv2,0.1167534738779068,32,163,0,1625,1,32.0,3.489566922187805,6.09375,0,7.5625,2.011929035186768,8.237717464728453
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,9,layer1.4.conv1,0.1458333283662796,32,171,0,1745,1,32.0,4.434281349182129,6.34375,0,7.71875,2.546710252761841,10.362167314067754
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,10,layer1.4.conv2,0.1180555522441864,32,160,0,1549,1,32.0,3.200850084424019,6.0,0,7.53125,1.8618288040161133,8.601112506415912
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,11,layer2.0.conv1,0.0963541641831398,48,274,0,3511,1,48.0,3.9254379868507385,6.708333333333333,0,7.270833333333333,2.2403757572174072,11.065082850513708
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,12,layer2.0.conv2,0.0476345494389534,64,336,0,3650,1,64.0,3.500291019678116,6.25,0,6.609375,1.809077739715576,9.077992203969892
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,13,layer2.0.shortcut.0,0.23828125,48,122,2,651,1,48.0,1.3285473187764485,3.5416666666666665,1,3.3541666666666665,0.6482617855072021,4.500075562344149
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,14,layer2.1.conv1,0.0374348945915699,64,284,1,2596,2,32.0,2.864393889904022,5.4375,1,5.625,1.3714892864227295,8.377968055100931
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,15,layer2.1.conv2,0.0435112863779068,64,305,0,2955,1,64.0,3.010469853878021,5.765625,0,5.828125,1.5599448680877686,7.622426679549951
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,16,layer2.2.conv1,0.0316840261220932,64,243,0,1966,2,32.0,2.575270712375641,4.796875,0,4.59375,1.1408240795135498,7.330644419661922
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,17,layer2.2.conv2,0.0310329869389534,64,247,1,1951,1,64.0,2.4283741116523743,4.859375,1,4.734375,0.9631451368331908,6.097547871440888
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,18,layer2.3.conv1,0.0248480904847383,64,205,1,1368,1,64.0,2.1143878698349,4.203125,1,3.703125,0.9288337230682372,6.30857263042401
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,19,layer2.3.conv2,0.0252821184694767,64,206,0,1326,1,64.0,2.08568611741066,4.21875,0,4.328125,0.8801391124725342,5.884910974950231
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,20,layer2.4.conv1,0.020833333954215,64,170,2,888,1,64.0,1.7968473434448242,3.65625,2,3.4375,0.7184195518493652,6.129192758173383
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,21,layer2.4.conv2,0.022786458954215,64,184,2,1125,1,64.0,2.019796311855316,3.875,2,3.5,0.7750722169876099,5.597137076366524
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,22,layer3.0.conv1,0.0107964407652616,96,183,11,780,4,24.0,1.021654099225998,2.90625,9,2.395833333333333,0.2899184226989746,4.299799133724494
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,23,layer3.0.conv2,0.0032552082557231,128,117,59,260,29,4.413793103448276,0.48104636836797,1.9140625,41,1.1640625,0.100723385810852,3.486315069315343
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,24,layer3.0.shortcut.0,0.09912109375,96,203,7,990,6,16.0,1.6893418629964192,3.114583333333333,6,2.520833333333333,0.5013737678527832,6.16551007183417
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,25,layer3.1.conv1,0.0035536023788154,128,127,53,327,29,4.413793103448276,0.4323028400540352,1.9921875,37,1.1875,0.1421178579330444,3.72929813472501
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,26,layer3.1.conv2,0.0042317709885537,128,147,38,442,25,5.12,0.5149078574031591,2.1484375,26,1.359375,0.3305630683898926,3.421023527525505
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,27,layer3.2.conv1,0.002197265625,128,75,46,125,61,2.098360655737705,0.2187636438757181,1.5859375,31,0.7578125,0.4439442157745361,3.0859077990612214
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,28,layer3.2.conv2,0.0036892360076308,128,126,37,491,44,2.909090909090909,0.2564991898834705,1.984375,24,1.2109375,0.4237362742424011,3.243821738641853
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,29,layer3.3.conv1,0.0034722222480922,128,113,34,423,51,2.5098039215686274,0.4857724606990814,1.8828125,19,1.0703125,0.6592527627944946,5.3370980586166175
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,30,layer3.3.conv2,0.0037977430038154,128,122,34,423,43,2.976744186046512,0.3616049336269498,1.953125,25,1.21875,0.4932912588119507,5.2553459326013
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,31,layer3.4.conv1,0.0022243922576308,128,74,40,179,64,2.0,0.1879226472228765,1.578125,21,0.7578125,0.1553614139556884,3.698797554724545
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,32,layer3.4.conv2,0.0036078558769077,128,108,36,382,53,2.4150943396226414,0.2959687877446413,1.84375,26,1.0546875,0.4392147064208984,3.5729218734769126
0.1738,grasp,0.98,Resnet-32,tinyimagenet,1,33,linear,0.0755468755960464,264,967,17,11324,6,44.0,5.27178569002585,4.662878787878788,16,4.212121212121212,2.2785873413085938,23.605260273748264
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,0,conv1,0.3680555522441864,19,45,1,359,1,19.0,6.2978258634868425,3.3684210526315788,1,2.8421052631578947,5.972301483154297,24.39761756319464
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,1,layer1.0.conv1,0.2651909589767456,32,218,0,2793,1,32.0,6.682281017303467,7.8125,0,10.9375,3.07222843170166,14.45416616918381
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,2,layer1.0.conv2,0.2335069477558136,32,207,0,2534,1,32.0,6.214277893304825,7.46875,0,9.875,3.8916878700256343,13.676819949560274
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,3,layer1.1.conv1,0.1762152761220932,32,180,0,1937,1,32.0,4.910656452178955,6.625,0,7.9375,3.046383857727051,11.552846004540887
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,4,layer1.1.conv2,0.1710069477558136,32,182,0,1976,1,32.0,4.535728931427002,6.6875,0,8.78125,2.9943742752075195,10.969738250875992
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,5,layer1.2.conv1,0.1375868022441864,32,167,0,1684,1,32.0,4.201413869857788,6.21875,0,7.625,2.3893942832946777,12.520998376180664
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,6,layer1.2.conv2,0.10546875,32,145,0,1266,1,32.0,3.29679536819458,5.53125,0,6.59375,1.7802355289459229,7.921526683695034
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,7,layer1.3.conv1,0.1154513880610466,32,150,0,1322,1,32.0,3.8067585602402687,5.6875,0,6.75,2.084620952606201,8.801504135938275
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,8,layer1.3.conv2,0.1258680522441864,32,163,0,1567,1,32.0,3.5116121768951416,6.09375,0,7.78125,1.902646541595459,7.819035282097551
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,9,layer1.4.conv1,0.0946180522441864,32,144,0,1206,1,32.0,3.114256978034973,5.5,0,6.8125,1.4322658777236938,6.807525901804667
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,10,layer1.4.conv2,0.0850694477558136,32,130,0,1040,1,32.0,2.670094609260559,5.0625,0,5.59375,1.5008525848388672,6.718813768767342
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,11,layer2.0.conv1,0.0627170130610466,48,216,1,2152,1,48.0,3.065038045247396,5.5,1,5.604166666666667,1.6381001472473145,8.361213680333224
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,12,layer2.0.conv2,0.0310329869389534,64,227,4,1887,2,32.0,2.3082460165023804,4.546875,4,4.140625,1.3969602584838867,7.312825242445429
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,13,layer2.0.shortcut.0,0.173828125,48,89,5,339,1,48.0,1.1815606753031414,2.8541666666666665,5,2.4166666666666665,0.3335014581680298,4.643332395640573
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,14,layer2.1.conv1,0.0363498255610466,64,261,2,2432,1,64.0,2.579778254032135,5.078125,2,5.125,1.4078378677368164,7.617082210693707
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,15,layer2.1.conv2,0.0359157994389534,64,268,1,2463,1,64.0,2.621244430541992,5.1875,1,5.140625,1.5063260793685913,7.734205507930376
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,16,layer2.2.conv1,0.0249565970152616,64,191,2,1335,4,16.0,1.9790476560592647,3.984375,2,3.46875,0.8223865032196045,6.546864807511088
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,17,layer2.2.conv2,0.0264756940305233,64,210,4,1478,2,32.0,1.987529456615448,4.28125,4,4.28125,0.8813114166259766,5.862861880246917
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,18,layer2.3.conv1,0.0226779505610466,64,179,2,1044,1,64.0,1.709652453660965,3.796875,2,3.421875,0.6983188390731812,6.433129608526811
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,19,layer2.3.conv2,0.0225694440305233,64,190,2,1145,1,64.0,1.6940788328647614,3.96875,2,3.59375,0.7295457124710083,5.084561406365612
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,20,layer2.4.conv1,0.0183376744389534,64,150,2,797,3,21.33333333333333,1.398863434791565,3.34375,2,2.703125,0.6275782585144043,6.226599348146128
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,21,layer2.4.conv2,0.0170355904847383,64,144,6,688,3,21.33333333333333,1.2820969820022583,3.25,6,2.546875,0.3734579086303711,3.655567125205827
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,22,layer3.0.conv1,0.0115017360076308,96,190,14,916,5,19.2,1.0388491849104564,2.9791666666666665,14,2.458333333333333,0.189346432685852,4.799894381995406
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,23,layer3.0.conv2,0.0049099391326308,128,168,36,803,34,3.764705882352941,0.6982915997505188,2.3125,27,1.5078125,0.4352837800979614,4.570085318848848
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,24,layer3.0.shortcut.0,0.076171875,96,156,18,580,3,32.0,1.066496749718984,2.625,16,2.020833333333333,0.1750857830047607,3.91173888345728
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,25,layer3.1.conv1,0.0045844186097383,128,157,27,644,32,4.0,0.6013976782560349,2.2265625,20,1.4921875,0.4071131944656372,5.461706767465561
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,26,layer3.1.conv2,0.006103515625,128,195,37,1051,26,4.923076923076923,0.7020718511193991,2.5234375,28,1.828125,0.7418338060379028,5.3197858106059455
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,27,layer3.2.conv1,0.0034722222480922,128,119,39,461,51,2.5098039215686274,0.4603185206651687,1.9296875,28,1.140625,0.4987835884094238,4.372348785762789
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,28,layer3.2.conv2,0.0058051217347383,128,172,26,879,36,3.555555555555556,0.5811926927417517,2.34375,20,1.609375,0.4915429353713989,4.590751492591759
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,29,layer3.3.conv1,0.0045030382461845,128,150,25,644,43,2.976744186046512,0.643666080199182,2.171875,20,1.3984375,0.4378188848495483,5.601110560210439
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,30,layer3.3.conv2,0.0080837672576308,128,212,27,1562,40,3.2,0.7405221350491047,2.65625,22,1.9921875,0.7340104579925537,6.566506561173864
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,31,layer3.4.conv1,0.0049641928635537,128,155,25,988,51,2.5098039215686274,0.6323966532945633,2.2109375,16,1.5078125,0.8005810976028442,6.349101898661203
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,32,layer3.4.conv2,0.0084635419771075,128,221,29,1694,37,3.45945945945946,0.6951304767280817,2.7265625,24,2.03125,0.9983291625976562,6.468131567151349
0.177,grasp,0.98,Resnet-32,tinyimagenet,2,33,linear,0.0862499997019767,264,1104,23,15810,5,52.8,5.469992699045124,5.181818181818182,20,4.674242424242424,2.8936033248901367,26.84724007365405
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,0,conv1,0.4953703582286834,19,39,0,273,4,4.75,3.992855674342105,3.0526315789473686,0,2.526315789473684,4.970726013183594,16.567392988767256
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,1,layer1.0.conv1,0.1284722238779068,32,96,0,845,12,2.6666666666666665,2.3331977389752865,4.0,0,4.53125,2.7996392250061035,8.908772268080181
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,2,layer1.0.conv2,0.1215277761220932,32,71,0,525,16,2.0,2.0008621215820312,3.21875,0,4.21875,2.7654995918273926,7.885981314926796
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,3,layer1.1.conv1,0.1258680522441864,32,83,0,654,14,2.2857142857142856,1.9899044036865237,3.59375,0,4.125,2.800795078277588,8.499663245789142
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,4,layer1.1.conv2,0.1354166716337204,32,85,0,666,13,2.4615384615384617,2.098486423492432,3.65625,0,4.21875,2.226309061050415,7.723727574778094
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,5,layer1.2.conv1,0.1215277761220932,32,80,0,632,15,2.1333333333333333,1.918712258338928,3.5,0,4.5,2.2217772006988525,8.077438118208022
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,6,layer1.2.conv2,0.1328125,32,93,0,791,13,2.4615384615384617,2.1711716651916504,3.90625,0,4.9375,2.5862951278686523,7.796634225334158
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,7,layer1.3.conv1,0.1315104216337204,32,99,0,856,12,2.6666666666666665,2.369649887084961,4.09375,0,5.09375,2.8769965171813965,8.70074591525511
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,8,layer1.3.conv2,0.1258680522441864,32,92,0,752,12,2.6666666666666665,2.106534004211426,3.875,0,4.875,2.323620319366455,7.6992543854466335
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,9,layer1.4.conv1,0.1297743022441864,32,94,0,792,12,2.6666666666666665,2.456040859222412,3.9375,0,4.9375,2.634918451309204,8.41654273490215
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,10,layer1.4.conv2,0.1263020783662796,32,78,0,608,15,2.1333333333333333,1.9878965467214584,3.4375,0,4.4375,2.6507997512817383,7.4885275830566815
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,11,layer2.0.conv1,0.06640625,48,85,0,698,30,1.6,1.4737315972646077,2.770833333333333,0,3.1041666666666665,2.441415786743164,7.917660854273134
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,12,layer2.0.conv2,0.0348307304084301,64,105,0,955,44,1.4545454545454546,1.3337876796722412,2.640625,0,2.921875,2.738245010375977,8.640724956746011
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,13,layer2.0.shortcut.0,0.009765625,48,5,5,0,43,1.1162790697674418,0.0129280090332031,1.1041666666666667,0,0.2083333333333333,0.0242309421300888,0.1802978515624999
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,14,layer2.1.conv1,0.0317925363779068,64,70,0,525,48,1.3333333333333333,0.9399242401123048,2.09375,0,1.859375,2.464661836624145,8.064718220913363
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,15,layer2.1.conv2,0.0333116315305233,64,78,0,623,46,1.391304347826087,0.8759288787841797,2.21875,0,1.984375,2.2386717796325684,6.8926763013168335
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,16,layer2.2.conv1,0.0338541679084301,64,86,1,710,45,1.4222222222222225,0.9420294761657716,2.34375,1,2.34375,2.4930436611175537,7.714785636158249
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,17,layer2.2.conv2,0.0313585065305233,64,83,0,670,46,1.391304347826087,0.7727036476135254,2.296875,0,2.296875,1.9077348709106443,5.926879158008009
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,18,layer2.3.conv1,0.0327690988779068,64,87,0,695,45,1.4222222222222225,0.9413728713989258,2.359375,0,2.125,2.088555335998535,6.4767649311471045
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,19,layer2.3.conv2,0.0338541679084301,64,85,0,687,46,1.391304347826087,0.8666348457336426,2.328125,0,2.328125,2.1267244815826416,6.198786456381001
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,20,layer2.4.conv1,0.0301649309694767,64,85,1,666,44,1.4545454545454546,0.9167881011962892,2.328125,1,2.09375,2.1905293464660645,6.743534152508564
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,21,layer2.4.conv2,0.0329861119389534,64,86,0,680,45,1.4222222222222225,0.8385627269744873,2.34375,0,2.125,1.9450863599777224,6.24919322593513
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,22,layer3.0.conv1,0.0168728306889534,96,94,0,801,76,1.263157894736842,0.7718353668848673,1.9791666666666667,0,1.6458333333333333,2.844611644744873,8.422542082361076
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,23,layer3.0.conv2,0.0083279078826308,128,105,1,947,107,1.1962616822429906,0.6363611221313477,1.8203125,1,1.4609375,2.8038816452026367,8.471010385185046
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,24,layer3.0.shortcut.0,0.00048828125,96,1,1,0,95,1.0105263157894735,0.0010515848795572,1.0104166666666667,0,0.0208333333333333,0.0504760704934597,0.1009521484374999
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,25,layer3.1.conv1,0.0074327257461845,128,80,0,619,110,1.1636363636363636,0.451146125793457,1.625,0,1.125,2.5163161754608154,6.983079367636152
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,26,layer3.1.conv2,0.0079752607271075,128,79,0,601,110,1.1636363636363636,0.3439221605658531,1.6171875,0,1.0,1.8696880340576167,5.8774210201569925
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,27,layer3.2.conv1,0.0081108938902616,128,84,0,670,110,1.1636363636363636,0.38836669921875,1.65625,0,1.1640625,2.038156747817993,5.755401522329979
0.065,synflow,0.98,Resnet-32,tinyimagenet,0,28,layer3.2.conv2,0.0079752607271075,128,85,0,682,110,1.1636363636363636,0.3827698230743408,1.6640625,0,1.1796875,1.8709373474121092,5.591218217290358
