accuracy,pruning,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,cut-edges,motif,no_connected_components,mean_connected_components,avg_node_strength,1-hop_nei,cut-nodes,k-core,spectral_gap,spectral_radius
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,0,conv1,0.3726851940155029,19,48,0,408,1,19.0,5.948987458881579,3.526315789473684,0,3.0,5.454987525939941,23.508889765678852
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,1,layer1.0.conv1,0.2200520783662796,32,201,0,2471,1,32.0,5.948758840560913,7.28125,0,9.5625,3.9284744262695312,14.463432873629811
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,2,layer1.0.conv2,0.1953125,32,205,0,2494,1,32.0,5.186609745025635,7.40625,0,9.84375,2.9513421058654785,11.43806052651957
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,3,layer1.1.conv1,0.1675347238779068,32,184,0,1997,1,32.0,4.751078605651856,6.75,0,8.78125,2.6986987590789795,11.825909568816996
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,4,layer1.1.conv2,0.1736111044883728,32,183,0,1975,1,32.0,4.895083665847778,6.71875,0,7.96875,3.0809781551361084,11.076358457363604
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,5,layer1.2.conv1,0.1484375,32,175,0,1842,1,32.0,4.633222579956055,6.46875,0,7.75,2.5693469047546387,10.828631735185148
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,6,layer1.2.conv2,0.1236979141831398,32,157,0,1475,1,32.0,3.3731666803359985,5.90625,0,6.78125,1.578200101852417,7.999731083228349
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,7,layer1.3.conv1,0.1354166716337204,32,173,0,1789,1,32.0,4.532528638839722,6.40625,0,8.5625,2.476913928985596,11.266745628627373
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,8,layer1.3.conv2,0.1085069477558136,32,153,0,1387,1,32.0,3.379314422607422,5.78125,0,7.53125,1.7178020477294922,7.751729923939432
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,9,layer1.4.conv1,0.0941840261220932,32,121,0,965,1,32.0,3.130516529083252,4.78125,0,4.71875,1.7938942909240725,8.509227997125782
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,10,layer1.4.conv2,0.1002604141831398,32,133,1,1100,1,32.0,2.934536814689636,5.15625,1,5.71875,1.6745434999465942,7.344250090466256
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,11,layer2.0.conv1,0.1039496511220932,48,273,0,3576,1,48.0,4.079032043615977,6.6875,0,7.208333333333333,2.733144044876098,11.028984674837464
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,12,layer2.0.conv2,0.0496961809694767,64,322,0,3671,1,64.0,3.6109183207154274,6.03125,0,6.03125,2.3725898265838623,11.254793159459428
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,13,layer2.0.shortcut.0,0.21484375,48,110,0,545,1,48.0,1.3277419408162434,3.2916666666666665,0,2.833333333333333,0.4196345806121826,4.116837376651536
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,14,layer2.1.conv1,0.0501302070915699,64,317,0,3639,1,64.0,3.623866558074951,5.953125,0,6.171875,2.278162717819214,12.400009366794103
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,15,layer2.1.conv2,0.0537109375,64,340,0,3998,1,64.0,3.653983473777771,6.3125,0,6.328125,2.306417226791382,10.493921581948644
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,16,layer2.2.conv1,0.0413411445915699,64,260,4,2556,3,21.33333333333333,2.959678202867508,5.0625,4,4.84375,2.1784377098083496,9.788316996625843
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,17,layer2.2.conv2,0.0473090261220932,64,303,5,3357,2,32.0,3.2400376200675964,5.734375,5,5.84375,2.2372872829437256,9.724422633613456
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,18,layer2.3.conv1,0.0264756940305233,64,193,3,1462,3,21.33333333333333,2.166680991649628,4.015625,3,3.421875,1.1969140768051147,8.006814358032086
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,19,layer2.3.conv2,0.0297309029847383,64,217,2,1723,1,64.0,2.171864211559296,4.390625,2,4.046875,1.1836254596710205,7.02677888962301
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,20,layer2.4.conv1,0.0221354160457849,64,168,5,1092,2,32.0,1.6810413002967834,3.625,5,3.03125,0.8777490854263306,6.580894401977959
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,21,layer2.4.conv2,0.0203993059694767,64,159,3,942,3,21.33333333333333,1.6313766837120056,3.484375,3,3.03125,0.822946310043335,5.440377123963577
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,22,layer3.0.conv1,0.0108506940305233,96,170,15,866,18,5.333333333333333,1.0249178136388462,2.770833333333333,12,2.1354166666666665,0.9658291339874268,6.942523714263501
0.1758,grasp,0.98,Resnet-32,tinyimagenet,0,23,layer3.0.conv2,0.00390625,128,125,37,427,43,2.976744186046512,0.4025989398360252,1.9765625,26,1.078125,0.4044530391693115,4.288073754803182
