accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,0,conv1,0.33796295523643494,19,46,46,1.0,0.13450292397660818,0.26900584795321636,4.842105263157895,2.4210526315789473,2.4210526315789473,16,2,0,0,-0.09860132971833797,374,,-184,-3465,0,0,0,3.4210526315789473,3.4210526315789473,5.804006476151316,2.902003238075658,2.8947368421052633,,1,1,19,19,19,19,19.0,19.0,,0.6339384704915506,1.0,0.0,3.459076767032021,0.0,8.456137403921845,0.8303300887373404,0.7902934663695036,5.684811720036233,18.339997667468765,5.393369674682617,23.26799313108233
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,1,layer1.0.conv1,0.1458333283662796,32,149,148,0.9932885906040269,0.1502016129032258,0.3004032258064516,9.3125,4.65625,4.65625,15,0,0,0,-0.17433806306442393,1414,,-185,-3452,1,0,0,5.65625,5.65625,4.709096193313599,2.3545480966567993,6.46875,,2,2,31,31,1,1,16.0,16.0,,0.6762655790992631,-0.26875067725146656,2.220446049250313e-16,14.99922878114639,0.0,8.872314936949117,0.6239493391754503,0.4849991666713338,7.239880154805056,21.814159788431468,1.3588066101074219,13.057081758656336
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,2,layer1.0.conv2,0.1636284738779068,32,168,166,0.9880952380952381,0.1693548387096774,0.3387096774193548,10.5,5.25,5.25,15,4,0,0,-0.10228736968719505,1691,,-184,-3452,0,0,0,6.25,6.25,4.561356246471405,2.2806781232357025,7.71875,,1,1,32,32,32,32,32.0,32.0,,0.7009781442465358,-0.2773616383856256,2.220446049250313e-16,13.130420683494243,0.0,7.977635586596499,0.6392355722193463,0.4906093016773086,7.8049446369280675,22.825540022773474,2.784766435623169,11.384025517267293
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,3,layer1.1.conv1,0.1467013955116272,32,151,149,0.9867549668874173,0.15221774193548387,0.30443548387096775,9.4375,4.71875,4.71875,15,3,0,0,-0.14563103538857558,1413,,-184,-3452,0,0,0,5.71875,5.71875,4.651546478271484,2.325773239135742,6.6875,,1,1,32,32,32,32,32.0,32.0,,0.4547132530751239,-0.0012030916217553532,0.0,14.997993741691156,0.0,8.466014406851707,0.6320763281384932,0.48909976559171703,7.159127421320043,21.841350115495445,2.8939313888549805,11.672277689667675
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,4,layer1.1.conv2,0.109375,32,123,120,0.975609756097561,0.12399193548387097,0.24798387096774194,7.6875,3.84375,3.84375,13,1,1,1,-0.19136140034402718,979,,-184,-3452,0,0,0,4.84375,4.84375,3.1893486976623535,1.5946743488311768,5.03125,,1,1,32,32,32,32,32.0,32.0,,0.5634162203312415,-0.07110267218207497,0.0,13.01515483289197,0.0,7.361443113823553,0.5745087598230821,0.4242380512812005,5.624158908837112,19.12907003204089,2.088052272796631,9.139608230473343
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,5,layer1.2.conv1,0.0850694477558136,32,106,103,0.9716981132075472,0.10685483870967742,0.21370967741935484,6.625,3.3125,3.3125,13,1,2,2,-0.17083114054977974,741,,-184,-3452,0,0,0,4.3125,4.3125,2.9000205993652344,1.4500102996826172,4.4375,,1,1,32,32,32,32,32.0,32.0,,0.4624811505376312,-0.02592636977351668,0.0,13.13300565456443,5.960464477539063e-08,6.300109618672014,0.5818118364207344,0.4412606171434869,4.934845286847919,17.446695907770255,1.7423796653747559,8.46182310241849
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,6,layer1.2.conv2,0.0833333358168602,32,114,112,0.9824561403508771,0.11491935483870967,0.22983870967741934,7.125,3.5625,3.5625,12,3,0,0,-0.11929010603792543,816,,-184,-3452,0,0,0,4.5625,4.5625,2.5811280012130737,1.2905640006065369,4.5625,,1,1,32,32,32,32,32.0,32.0,,0.6345761721411715,-0.4190493414899511,0.0,12.061009802911128,1.1920928955078125e-07,4.387736835001799,0.5563719970613572,0.39444399033323857,4.881576268141111,17.54095765742887,1.296509027481079,6.673159456089483
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,7,layer2.0.conv1,0.0616319440305233,48,177,171,0.9661016949152542,0.07845744680851063,0.15691489361702127,7.375,3.6875,3.6875,19,2,0,0,-0.06079856703097532,1452,,-168,-3452,0,0,0,4.6875,4.6875,2.7435776392618814,1.3717888196309407,4.625,,1,1,48,48,48,48,48.0,48.0,,0.4702183798462448,-0.0116629536860617,2.220446049250313e-16,9.076436953102817,1.1920928955078125e-07,3.651990469572538,0.47220433043873017,0.2952181503889665,4.7970150041163535,21.191957680931708,1.1852951049804688,8.293342354643933
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,8,layer2.0.conv2,0.0285373255610466,64,186,185,0.9946236559139785,0.046130952380952384,0.09226190476190477,5.8125,2.90625,2.90625,14,1,7,7,0.021339357860805874,1325,,-168,-3436,0,0,0,3.90625,3.90625,2.146256685256958,1.073128342628479,3.5625,,1,1,64,64,64,64,64.0,64.0,,0.4742658626613605,-0.07998130397193974,0.0,14.086765121339745,0.0,6.22822930113542,0.3824232617621297,0.2565548838403306,4.30573212357446,19.090283436111115,1.5543384552001953,9.235645650696343
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,9,layer2.0.shortcut.0,0.173828125,48,89,89,1.0,0.03945035460992908,0.07890070921985816,3.7083333333333335,1.8541666666666667,1.8541666666666667,11,1,4,4,-0.07462656074636227,352,,-168,-3452,0,0,0,2.8541666666666665,2.8541666666666665,1.1628390947977703,0.5814195473988851,2.5625,,1,1,48,48,48,48,48.0,48.0,,-0.13404844947778186,-0.0010547502243448026,0.0,5.138518544156482,0.0,1.6608075958640507,0.2882287046150144,0.06454272551525506,1.1088647574994352,12.344283276207765,0.36725544929504395,5.239023050882289
