accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,0,conv1,0.45601850748062134,19,47,47,1.0,0.13742690058479534,0.2748538011695907,4.947368421052632,2.473684210526316,2.473684210526316,16,2,0,0,-0.14433756729740857,391,,-84,-3465,0,0,0,3.473684210526316,3.473684210526316,3.584787469161184,1.792393734580592,2.9473684210526314,,1,1,19,19,19,19,19.0,19.0,,0.780361421390611,1.0,2.220446049250313e-16,3.45508261382972,5.960464477539063e-08,4.098532473215378,0.8651266511088371,0.8330952832736691,6.0037945376150805,18.69712075867751,3.2911744117736816,14.043046019880439
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,1,block1.layer.0.conv1,0.2541232705116272,48,441,422,0.9569160997732427,0.19547872340425532,0.39095744680851063,18.375,9.1875,9.1875,30,5,0,0,-0.062436373179199624,8809,,-68,-3452,0,0,0,10.1875,10.1875,3.4049089749654136,1.7024544874827068,13.354166666666666,,1,1,48,48,48,48,48.0,48.0,,-0.34108662236307463,-0.48530619969425776,8.881784197001252e-16,16.118399865212876,0.0,3.999951550379079,0.7333490935138421,0.6328118479389858,16.66450943725213,42.30921241093356,2.397153377532959,8.364127247057848
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,2,block1.layer.0.conv2,0.1795789897441864,64,760,701,0.9223684210526316,0.1884920634920635,0.376984126984127,23.75,11.875,11.875,31,14,0,0,-0.07054815256232691,17790,,-68,-3436,0,0,0,12.875,12.875,3.2761639542877674,1.6380819771438837,17.640625,,1,1,64,64,64,64,64.0,64.0,,0.37572941130062043,-0.16599023074718922,0.0,31.043864865917374,0.0,5.365413503869809,0.6911110558828201,0.5643288102275343,20.161690945519187,49.78991329754222,2.1956448554992676,7.5551361489140625
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,3,block1.layer.0.convShortcut,0.33984375,48,174,170,0.9770114942528736,0.07712765957446809,0.15425531914893617,7.25,3.625,3.625,15,2,0,0,-0.04414583408039811,1357,,-68,-3452,0,0,0,4.625,4.625,0.8531055798133215,0.42655278990666073,4.583333333333333,,1,1,48,48,48,48,48.0,48.0,,0.5177714314117506,-0.041640966075658425,0.0,9.997194502755509,0.0,2.130133015364583,0.38719801665901754,0.1750150089320223,3.9455694616865093,18.90295721320951,0.3542538285255432,3.1231493376142323
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,4,block1.layer.1.conv1,0.1504991352558136,64,710,653,0.9197183098591549,0.17609126984126985,0.3521825396825397,22.1875,11.09375,11.09375,28,14,0,0,-0.07149916130923588,15444,,-68,-3436,0,0,0,12.09375,12.09375,2.7546788454055786,1.3773394227027893,16.796875,,1,1,64,64,64,64,64.0,64.0,,0.4967671499374233,-0.07849992784204932,0.0,28.010775347035263,0.0,4.555775117152012,0.6546684234514963,0.5120468533763622,18.17611511766192,46.35279894505661,1.6865044832229614,8.610199945432234
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,5,block1.layer.1.conv2,0.1444227397441864,64,715,661,0.9244755244755245,0.17733134920634921,0.35466269841269843,22.34375,11.171875,11.171875,30,15,0,0,-0.06363943171771173,15664,,-68,-3436,0,0,0,12.171875,12.171875,2.813424274325371,1.4067121371626854,16.953125,,1,1,64,64,64,64,64.0,64.0,,0.6092170199912299,-0.020124347029276884,0.0,29.98421920347377,0.0,5.559943715932007,0.6405021899094248,0.49200212621505524,18.126610248467863,46.750467313865414,1.889024257659912,6.744709448881438
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,6,block1.layer.2.conv1,0.1226128488779068,64,639,597,0.9342723004694836,0.15848214285714285,0.3169642857142857,19.96875,9.984375,9.984375,28,12,0,0,-0.034369645702155595,12574,,-68,-3436,0,0,0,10.984375,10.984375,2.4677543062716722,1.2338771531358361,13.9375,,1,1,64,64,64,64,64.0,64.0,,-0.013462511970892157,-0.34838046115335913,0.0,28.204004383049096,0.0,3.922858909328896,0.6092145640920047,0.450121709440862,15.788805725024472,42.64544174757483,1.4952716827392578,5.72375985524432
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,7,block1.layer.2.conv2,0.1317274272441864,64,686,639,0.9314868804664723,0.1701388888888889,0.3402777777777778,21.4375,10.71875,10.71875,28,12,0,0,-0.0678162963073371,14446,,-68,-3436,0,0,0,11.71875,11.71875,2.788297586143017,1.3941487930715084,15.8125,,1,1,64,64,64,64,64.0,64.0,,0.7521731697093484,-0.046350703906285456,0.0,28.162824588135788,0.0,4.31833693203991,0.6125880011570519,0.4533369619292514,17.017122506910045,45.00407774990597,1.7296075820922852,6.322802632690221
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,8,block1.layer.3.conv1,0.1163194477558136,64,631,584,0.9255150554675119,0.15649801587301587,0.31299603174603174,19.71875,9.859375,9.859375,27,5,0,0,-0.06190832038566901,12311,,-68,-3436,0,0,0,10.859375,10.859375,2.5391895622015,1.26959478110075,14.59375,,1,1,64,64,64,64,64.0,64.0,,0.506914396283397,-0.05499082039055064,0.0,24.924687685170582,0.0,3.6210386517015083,0.6007027697223457,0.43918885693375365,15.534505724278585,41.860972728671314,1.6867704391479492,5.630115011709528
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,9,block1.layer.3.conv2,0.1090494766831398,64,602,562,0.9335548172757475,0.14930555555555555,0.2986111111111111,18.8125,9.40625,9.40625,27,6,0,0,-0.05012939504895334,11185,,-68,-3436,0,0,0,10.40625,10.40625,2.6019903793931007,1.3009951896965504,13.78125,,1,1,64,64,64,64,64.0,64.0,,0.6639723944767496,-0.0003491151460331356,4.440892098500626e-16,25.962520448500012,0.0,4.637126252075117,0.5817734276960992,0.4124098558797809,14.49251516105901,40.31294010579486,1.610997200012207,6.0695407164389765
