accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,0,conv1,0.32870370149612427,19,47,47,1.0,0.13742690058479534,0.2748538011695907,4.947368421052632,2.473684210526316,2.473684210526316,16,2,0,0,-0.14433756729740857,391,,-84,-3465,0,0,0,3.473684210526316,3.473684210526316,7.521477950246711,3.7607389751233553,2.9473684210526314,,1,1,19,19,19,19,19.0,19.0,,0.756427587189149,1.0,0.0,3.3650061984036586,0.0,8.642448131440592,0.8651266511088372,0.8330952832736693,6.003794537615082,18.697120758677514,7.693082809448242,30.472947208546408
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,1,layer1.0.conv1,0.1341145783662796,32,147,147,1.0,0.14818548387096775,0.2963709677419355,9.1875,4.59375,4.59375,15,2,0,0,-0.22642944015506192,1381,,-84,-3452,0,0,0,5.59375,5.59375,6.6896732449531555,3.3448366224765778,6.4375,,1,1,32,32,32,32,32.0,32.0,,0.5228899192341835,-0.005625332750353043,0.0,14.012377144828484,1.1920928955078125e-07,13.324418754365709,0.6485242489964855,0.5179817091452285,7.308088547297297,21.82389665413607,3.7597875595092773,19.730917064057067
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,2,layer1.0.conv2,0.1644965261220932,32,171,169,0.9883040935672515,0.17237903225806453,0.34475806451612906,10.6875,5.34375,5.34375,15,4,0,0,-0.1581833234056893,1758,,-84,-3452,0,0,0,6.34375,6.34375,7.013261318206787,3.5066306591033936,7.6875,,1,1,32,32,32,32,32.0,32.0,,0.6475889992745175,-0.07253383552566578,0.0,15.036449268128749,0.0,10.526104873364389,0.6525092035784956,0.5094448995908571,8.086657918840233,23.216006253206007,3.644843101501465,16.460164473539873
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,3,layer1.1.conv1,0.1119791641831398,32,138,138,1.0,0.13911290322580644,0.2782258064516129,8.625,4.3125,4.3125,15,2,0,0,-0.17513902305952606,1210,,-84,-3452,0,0,0,5.3125,5.3125,5.488076210021973,2.7440381050109863,5.6875,,1,1,32,32,32,32,32.0,32.0,,0.5895450774840427,-0.06278507556006664,0.0,15.112721311589848,0.0,13.346858043647071,0.6240454058975667,0.4844805794542353,6.611351856684122,20.818638140064333,2.621119976043701,15.934549199291167
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,4,layer1.1.conv2,0.1141493022441864,32,145,143,0.9862068965517241,0.1461693548387097,0.2923387096774194,9.0625,4.53125,4.53125,14,5,0,0,-0.02156662350295132,1256,,-84,-3452,0,0,0,5.53125,5.53125,5.019254207611084,2.509627103805542,5.84375,,1,1,32,32,32,32,32.0,32.0,,0.483085823341416,-0.0004347773849567513,0.0,14.056218398893854,0.0,9.775780290722473,0.6114327868346725,0.45380557271578703,6.451025277983895,20.35032042254116,2.960146188735962,13.154847686769271
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,5,layer1.2.conv1,0.0985243022441864,32,136,134,0.9852941176470589,0.13709677419354838,0.27419354838709675,8.5,4.25,4.25,13,4,0,0,-0.10864072227642725,1092,,-84,-3452,0,0,0,5.25,5.25,5.231761932373047,2.6158809661865234,5.84375,,1,1,32,32,32,32,32.0,32.0,,0.2548354416763847,-0.034358796633035836,0.0,13.00625150513231,0.0,11.323081027073481,0.5521794273969862,0.36666539227907297,5.416912975635535,18.782116100215152,2.611053466796875,13.867655516854606
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,6,layer1.2.conv2,0.0933159738779068,32,121,116,0.9586776859504132,0.1219758064516129,0.2439516129032258,7.5625,3.78125,3.78125,12,2,0,0,0.057312482080908056,877,,-84,-3452,0,0,0,4.78125,4.78125,4.4435224533081055,2.2217612266540527,4.78125,,1,1,32,32,32,32,32.0,32.0,,0.5069742861557522,-0.0242273412551378,4.440892098500626e-16,11.91984401315349,1.1920928955078125e-07,7.718955417445381,0.559715032471252,0.3884247092722688,5.011295185607598,17.59360800051981,2.423393964767456,10.73709906594404
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,7,layer2.0.conv1,0.0607638880610466,48,177,172,0.9717514124293786,0.07845744680851063,0.15691489361702127,7.375,3.6875,3.6875,22,2,0,0,-0.11331755854737985,1477,,-68,-3452,0,0,0,4.6875,4.6875,3.576449861129125,1.7882249305645626,4.604166666666667,,1,1,48,48,48,48,48.0,48.0,,0.4643530237543243,-0.009774044685049646,0.0,9.955898136732296,0.0,6.17251982407169,0.4782238946144246,0.3071959989829226,4.929609149654341,23.686847185127046,1.7650146484375,11.153380433318913
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,8,layer2.0.conv2,0.0246310755610466,64,176,172,0.9772727272727273,0.04365079365079365,0.0873015873015873,5.5,2.75,2.75,15,0,5,5,-0.017346337963963884,1210,,-68,-3437,1,0,0,3.75,3.75,2.835040807723999,1.4175204038619995,3.171875,,2,2,63,63,1,1,32.0,32.0,,0.46844939242746325,-0.10309553856476837,0.0,15.145531143682108,0.0,13.78413985087525,0.3639309614901363,0.2398089670718095,3.9781937328939634,19.08310436058184,2.4912471771240234,15.587958884370192
0.3173,grasp,0.98,Resnet-20,CIFAR-100,0,9,layer2.0.shortcut.0,0.1796875,48,92,91,0.9891304347826086,0.040780141843971635,0.08156028368794327,3.8333333333333335,1.9166666666666667,1.9166666666666667,10,1,7,7,0.13693754398877467,369,,-68,-3452,0,0,0,2.9166666666666665,2.9166666666666665,1.4738534291585286,0.7369267145792643,2.375,,1,1,48,48,48,48,48.0,48.0,,0.19938486883554035,-0.0498831195363106,0.0,6.042789032790785,0.0,3.1140654239880163,0.36151286402203825,0.17846647102838398,1.7296888479140002,11.919303106774452,0.46215081214904785,5.272794404492133
