accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,0,conv1,0.45601850748062134,43,197,192,0.9746192893401016,0.10908084163898117,0.21816168327796234,9.162790697674419,4.5813953488372094,4.5813953488372094,16,3,0,0,0.012075922986355623,1824,,-84,-3441,0,0,0,5.5813953488372094,5.5813953488372094,2.819280047749364,1.409640023874682,6.465116279069767,,1,1,43,43,43,43,43.0,43.0,,0.5588989750971871,-0.02018566993065714,0.0,16.025048092765708,0.0,6.384474560863097,0.5018278169670752,0.3087829201095596,5.852304135316201,21.315279213306162,1.2201606035232544,7.573104524009139
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,1,block1.layer.0.conv1,0.2541232705116272,176,1171,1056,0.9017933390264731,0.03801948051948052,0.07603896103896104,13.306818181818182,6.653409090909091,6.653409090909091,62,3,0,0,-0.016288983600724366,27262,,-68,-3324,0,0,0,7.653409090909091,7.653409090909091,1.3877732469276949,0.6938866234638474,7.75,,1,1,176,176,176,176,176.0,176.0,,0.32830534317495086,-0.0781834001271853,0.0,62.06603177187655,0.0,6.837313814618684,0.2646672100962135,0.11823998750649878,11.370024528260839,63.33404202210049,0.7911968231201172,7.09724304438009
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,2,block1.layer.0.conv2,0.1795789897441864,320,1655,1408,0.8507552870090634,0.016212774294670846,0.03242554858934169,10.34375,5.171875,5.171875,94,0,4,4,-0.01572021352821244,51789,,-68,-3183,3,0,0,6.171875,6.171875,0.9154812384396791,0.45774061921983955,5.684375,,4,4,317,317,1,1,80.0,80.0,,0.5618127041294164,-0.006952934671126736,0.0,93.96963799313284,0.0,8.210770041280695,0.012560433522043803,-0.004231866261605743,11.27193743437215,95.13833927413648,0.5435749292373657,8.400328435223297
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,3,block1.layer.0.convShortcut,0.33984375,48,174,170,0.9770114942528736,0.07712765957446809,0.15425531914893617,7.25,3.625,3.625,15,2,0,0,-0.04414583408039811,1357,,-68,-3452,0,0,0,4.625,4.625,0.8531055798133215,0.42655278990666073,4.583333333333333,,1,1,48,48,48,48,48.0,48.0,,0.47356976557347763,-0.01520968636416079,0.0,10.100823935716527,0.0,2.1552491298948313,0.38719801665901704,0.1750150089320227,3.9455694616865253,18.90295721320953,0.3542547821998596,3.1231493376142305
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,4,block1.layer.1.conv1,0.1504991352558136,320,1387,1236,0.8911319394376351,0.013587382445141065,0.02717476489028213,8.66875,4.334375,4.334375,71,1,12,10,-0.008685807762519412,35176,,-68,-3180,0,0,0,5.334375,5.334375,0.732154195010662,0.366077097505331,4.815625,,1,1,320,320,320,320,320.0,320.0,,0.5015462299696486,-0.004903878929332823,0.0,71.02109421490019,0.0,6.211429064526282,0.011101604231952257,-0.012399921112601152,8.593606910731232,72.13174776864341,0.4886643886566162,6.424508192850832
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,5,block1.layer.1.conv2,0.1444227397441864,320,1331,1177,0.8842975206611571,0.013038793103448276,0.026077586206896552,8.31875,4.159375,4.159375,63,0,9,7,-0.004608829870233781,32131,,-68,-3182,2,0,0,5.159375,5.159375,0.7412427455186844,0.3706213727593422,4.671875,,3,3,318,318,1,1,106.66666666666667,106.66666666666667,,0.44165041925031456,-2.8970517084790125e-05,0.0,62.98686318242955,0.0,7.553436677113774,-0.06570460900204503,-0.09400660533451036,7.410375915412615,64.19693519104169,0.38298869132995605,7.781179610160173
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,6,block1.layer.2.conv1,0.1226128488779068,320,1130,1011,0.8946902654867257,0.011069749216300941,0.022139498432601882,7.0625,3.53125,3.53125,65,0,33,17,-0.0013888883109850697,23571,,-68,-3182,2,0,0,4.53125,4.53125,0.6385523851960897,0.31927619259804485,3.971875,,3,3,318,318,1,1,106.66666666666667,106.66666666666667,,0.35214443289655084,-0.00044478173776704586,0.0,65.02496604096136,0.0,5.399036254525397,-0.05577843653077211,-0.05879952025233468,6.400365914518544,66.11510131205274,0.38201063871383667,5.5817503047261665
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,7,block1.layer.2.conv2,0.1317274272441864,320,1214,1091,0.8986820428336079,0.011892633228840125,0.02378526645768025,7.5875,3.79375,3.79375,59,0,20,14,-0.013400910647654684,26920,,-68,-3181,1,0,0,4.79375,4.79375,0.7223542131483555,0.36117710657417773,4.240625,,2,2,319,319,1,1,160.0,160.0,,0.39182655652672843,-0.00013227725369932487,0.0,58.97515712292085,0.0,6.514710367308378,-0.03521399795807705,-0.059045042707114186,6.749135318390934,60.12631366758109,0.3420567512512207,6.748617594957946
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,8,block1.layer.3.conv1,0.1163194477558136,320,1072,956,0.8917910447761194,0.010501567398119123,0.021003134796238245,6.7,3.35,3.35,50,0,35,21,-0.03320255408177886,20991,,-68,-3184,4,0,0,4.35,4.35,0.6433248519897461,0.32166242599487305,3.778125,,5,5,316,316,1,1,64.0,64.0,,0.35375771763812375,-4.4344746393045346e-05,0.0,49.99248780161504,0.0,4.845437306511855,-0.04071042086687874,-0.04467895421377623,5.97652942441868,51.160894317689184,0.37893450260162354,5.051464353133384
0.553,grasp,0.98,Wide-Resnet-28-2,CIFAR-100,0,9,block1.layer.3.conv2,0.1090494766831398,320,1005,912,0.9074626865671642,0.009845219435736676,0.019690438871473353,6.28125,3.140625,3.140625,48,0,31,18,0.014826087615807691,18486,,-68,-3186,6,0,0,4.140625,4.140625,0.6526193786412477,0.3263096893206239,3.41875,,7,7,314,314,1,1,45.714285714285715,45.714285714285715,,0.42877546046718734,-0.019889660557359187,0.0,48.0017332108563,0.0,5.730046424208325,-0.06241391871370429,-0.0639824126575001,5.303239089482526,49.394275043529106,0.3400012254714966,5.945994705736246
