accuracy,pruning,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,cut-edges,motif,no_connected_components,mean_connected_components,avg_node_strength,1-hop_nei,cut-nodes,k-core,spectral_gap,spectral_radius
0.3172,grasp,0.98,CONV-6,tinyimagenet,2,3,convs1.7,0.0823839008808136,704,6074,6,217161,3,234.66666666666663,3.3524583752521058,9.627840909090908,6,9.744318181818182,2.134089,32.60575018854405
0.3172,grasp,0.98,CONV-6,tinyimagenet,2,4,convs1.10,0.0484551340341568,1280,7145,55,270326,20,64.0,2.0388776430860163,6.58203125,42,6.07734375,1.5397747,22.91277000386068
0.3172,grasp,0.98,CONV-6,tinyimagenet,2,6,convs1.14,0.0258280429989099,1408,7617,58,183791,25,56.32,1.931316340596161,6.409801136363637,52,5.830965909090909,0.942173,20.49611279974536
0.3172,grasp,0.98,CONV-6,tinyimagenet,2,7,convs1.17,0.0079718697816133,2560,4702,588,66110,542,4.723247232472325,0.7359596896916628,2.83671875,210,1.967578125,0.3782444,18.350189426778837
0.3172,grasp,0.98,CONV-6,tinyimagenet,2,9,linear.0,0.0025548934936523,4352,2679,1079,27018,2452,1.7748776508972268,0.2792210341157282,1.615579044117647,246,0.6780790441176471,0.2399447,17.646018204164857
0.3172,grasp,0.98,CONV-6,tinyimagenet,2,10,linear.3,0.0846099853515625,512,5545,0,123062,1,512.0,4.551713504595682,11.830078125,0,14.615234375,2.3130674,15.18795000782876
0.3172,grasp,0.98,CONV-6,tinyimagenet,2,11,linear.6,0.1412695348262787,456,7233,0,235960,1,456.0,8.94014734918611,16.861842105263158,0,21.72149122807017,5.573641,20.44332771081949
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,0,convs1.0,0.8692129850387573,91,1502,0,58437,2,45.5,11.298993802332616,17.505494505494507,0,23.142857142857142,8.94047,30.63284476431085
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,1,convs1.3,0.1561143696308136,640,5755,3,579427,41,15.609756097560975,3.208191604912281,9.9921875,3,9.6421875,3.8648195,45.322222695613405
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,3,convs1.7,0.0742865651845932,704,5477,3,346803,347,2.028818443804034,3.147463645955378,8.779829545454545,3,9.234375,5.576568,32.18243645276127
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,4,convs1.10,0.0367838554084301,1280,5424,9,519357,770,1.6623376623376624,1.637206279952079,5.2375,7,4.5796875,5.7018156,45.05086948926954
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,6,convs1.14,0.0196702741086483,1408,5801,2,317824,1059,1.3295561850802644,1.6598092972893606,5.120028409090909,2,4.989346590909091,5.736024,27.903191020121287
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,7,convs1.17,0.0092196995392441,2560,5438,8,658721,1912,1.338912133891213,0.8143697516527026,3.12421875,8,2.231640625,5.661761,58.3392975778074
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,9,linear.0,0.0059366226196289,4352,6225,3,319559,3880,1.1216494845360825,0.5648597879609203,2.430376838235294,3,1.6803768382352942,4.832492,24.292260292795746
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,10,linear.3,0.0676116943359375,512,4431,0,221742,323,1.585139318885449,4.363332015927881,9.654296875,0,12.607421875,9.21089,26.81887529568392
0.3296,synflow,0.98,CONV-6,tinyimagenet,0,11,linear.6,0.1206640601158142,456,6178,0,276535,143,3.1888111888111887,8.160874141674293,14.548245614035087,0,18.013157894736842,8.473238,37.871637117050525
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,0,convs1.0,0.8715277910232544,91,1506,0,58470,1,91.0,11.13219895205655,17.54945054945055,0,23.186813186813183,8.830486,30.814297862811152
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,1,convs1.3,0.159912109375,640,5895,0,540863,29,22.06896551724138,3.246304838359356,10.2109375,0,9.88125,3.8113651,47.21801022524133
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,3,convs1.7,0.0755072683095932,704,5567,0,369668,330,2.1333333333333333,3.1722135445611044,8.907670454545455,0,9.237215909090908,5.6339483,35.213549222330855
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,4,convs1.10,0.0361395925283432,1280,5329,5,511352,800,1.6,1.6343554139137269,5.16328125,5,4.4921875,6.047037,44.23025211715774
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,6,convs1.14,0.0192667637020349,1408,5682,4,315877,1057,1.3320719016083256,1.62911105977202,5.035511363636363,4,4.8586647727272725,5.9525537,29.199073082819705
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,7,convs1.17,0.0092383492738008,2560,5449,5,645897,1953,1.3108038914490527,0.8043845284730196,3.128515625,5,2.252734375,5.771802,50.94382510964762
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,9,linear.0,0.0059194564819335,4352,6207,12,330387,3868,1.125129265770424,0.5706058582564926,2.426240808823529,11,1.6861213235294117,4.9697638,28.683698975984303
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,10,linear.3,0.0671234130859375,512,4399,0,218201,317,1.615141955835962,4.285058439942077,9.591796875,0,12.421875,8.976442,27.74370967795963
0.3311,synflow,0.98,CONV-6,tinyimagenet,1,11,linear.6,0.1210351586341857,456,6197,0,267882,137,3.3284671532846715,8.186513683252167,14.589912280701755,0,18.3530701754386,8.273204,31.83487670428127
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,0,convs1.0,0.8692129850387573,91,1502,0,58455,2,45.5,11.547913408541415,17.505494505494507,0,23.736263736263737,8.973677,31.01795818132569
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,1,convs1.3,0.1574978232383728,640,5806,1,547455,39,16.41025641025641,3.24618765451014,10.071875,1,9.740625,3.9049864,43.93193365120773
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,3,convs1.7,0.0740966796875,704,5463,0,351935,343,2.052478134110787,3.162901954386722,8.759943181818182,0,8.934659090909092,5.591483,33.549916469790176
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,4,convs1.10,0.0372789166867733,1280,5497,2,501663,791,1.618204804045512,1.6949409591034057,5.29453125,2,4.646875,5.813229,39.12074341630106
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,6,convs1.14,0.01988728903234,1408,5865,0,334012,1048,1.3435114503816794,1.6705523940988565,5.165482954545454,0,5.061079545454546,5.7979565,27.3262034453826
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,7,convs1.17,0.0090196393430233,2560,5320,8,633805,1953,1.3108038914490527,0.7866866716183722,3.078125,7,2.2015625,5.61482,51.66428518003149
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,9,linear.0,0.0059194564819335,4352,6207,1,314822,3888,1.1193415637860082,0.5704257613705361,2.426240808823529,1,1.6833639705882353,4.9587674,27.61419587516928
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,10,linear.3,0.068115234375,512,4464,2,221049,317,1.615141955835962,4.326955041382462,9.71875,2,12.505859375,8.977479,26.563634447616472
0.3187,synflow,0.98,CONV-6,tinyimagenet,2,11,linear.6,0.1192773431539535,456,6107,1,269219,140,3.257142857142857,7.951598814704962,14.392543859649123,1,17.532894736842106,8.313074,30.146438975814345
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,0,convs1.0,0.5844907164573669,91,1010,0,26879,1,91.0,9.236375782515976,12.0989010989011,0,15.043956043956044,6.3862553,27.2072930029028
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,1,convs1.3,0.1297471821308136,640,4783,0,276252,1,640.0,2.908993059955537,8.4734375,0,7.9984375,2.2477593,37.48447846164764
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,3,convs1.7,0.0835096538066864,704,6157,2,233916,1,704.0,3.4071794389323755,9.745738636363637,1,9.677556818181818,2.3609858,28.58017848813964
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,4,convs1.10,0.0324639230966568,1280,4787,114,134468,52,24.615384615384617,1.5112197880633176,4.73984375,71,4.07890625,0.9240284,27.95786711999518
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,6,convs1.14,0.0146552193909883,1408,4322,150,64228,112,12.571428571428571,1.182472359304401,4.0696022727272725,98,3.339488636363636,0.41212726,15.604844925881205
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,7,convs1.17,0.0037807887420058,2560,2230,682,20970,1096,2.335766423357664,0.3737240276765078,1.87109375,227,0.992578125,0.18048811,15.43100369481344
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,9,linear.0,0.0022506713867187,4352,2360,886,66582,2786,1.5620961952620245,0.2225934181581525,1.5422794117647058,184,0.5875459558823529,0.29945636,32.87874235207684
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,10,linear.3,0.1713409423828125,512,11229,0,562115,1,512.0,7.022780126193538,22.931640625,0,26.412109375,5.921315,27.859475713750548
0.3264,prospr,0.98,CONV-6,tinyimagenet,0,11,linear.6,0.1820117235183715,456,9319,0,428774,1,456.0,10.40998120841227,21.43640350877193,0,25.57675438596491,7.2636323,25.03429757032909
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,0,convs1.0,0.5746527910232544,91,993,0,25832,1,91.0,9.139727749667324,11.912087912087912,0,14.571428571428571,6.205957,26.50213514610841
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,1,convs1.3,0.0964898020029068,640,3557,12,151363,3,213.33333333333331,2.3253217989578845,6.5578125,10,6.1578125,1.2808204,38.293404309279545
0.3176,prospr,0.98,CONV-6,tinyimagenet,1,3,convs1.7,0.080078125,704,5904,2,228285,2,352.0,3.3084846538576214,9.386363636363637,2,9.052556818181818,2.237619,35.264829548809026
