accuracy,pruning_algorithm,sparsity,model,dataset,seed,layer_id,layer_name,layer_sparsity,nodes,edges,unique_edges,weights_edges_ratio,density_directed,density_undirected,avg_degree_all,avg_degree_in,avg_degree_out,max_degree,min_degree,bridges,a_point,assortativity,motifs_count,motifs,sink_nodes,source_nodes,disconnected_nodes,lost_out_edges,lost_in_edges,nei_one_hop,nei_two_hop,strenght_all,strenght_out,coreness_all,coreness_out,strong_clusters,weak_clusters,max_strong,max_weak,min_strong,min_weak,mean_strong,mean_weak,transitivity,delta_r_directed,delta_s_directed,spectral_gap_unweighted_directed,spectral_radius_laplacian_unweighted_directed,spectral_gap_weighted_directed,spectral_radius_laplacian_weighted_directed,delta_r_undirected,delta_s_undirected,spectral_gap_unweighted_undirected,spectral_radius_laplacian_unweighted_undirected,spectral_gap_weighted_undirected,spectral_radius_laplacian_weighted_undirected
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,0,conv1,0.33796295523643494,43,146,145,0.9931506849315068,0.08084163898117386,0.16168327796234772,6.790697674418604,3.395348837209302,3.395348837209302,16,2,0,0,-0.0812394623907749,1072,,-184,-3441,0,0,0,4.395348837209302,4.395348837209302,4.037477537643078,2.018738768821539,4.488372093023256,,1,1,43,43,43,43,43.0,43.0,,0.5548097572329848,-0.12063565689107476,0.0,15.911624829594924,0.0,13.759679743750793,0.48294312034792464,0.3106310480389754,4.409832051595779,18.748209238624717,1.9754810333251953,15.502881092701973
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,1,layer1.0.conv1,0.1458333283662796,160,336,328,0.9761904761904762,0.013207547169811321,0.026415094339622643,4.2,2.1,2.1,44,0,28,11,-0.18118438860960415,4731,,-185,-3336,13,0,0,3.1,3.1,1.3618873834609986,0.6809436917304993,2.3375,,14,14,147,147,1,1,11.428571428571429,11.428571428571429,,0.2324245387651743,-0.03068054125770539,0.0,44.01505802391194,0.0,14.334868675383067,-0.11319537179670107,-0.05424904142616016,3.194210679867738,45.07532128663173,0.22332763671875,14.906829348794828
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,2,layer1.0.conv2,0.1636284738779068,160,377,362,0.9602122015915119,0.014819182389937109,0.029638364779874218,4.7125,2.35625,2.35625,38,0,32,12,-0.025256144488239107,5188,,-184,-3333,9,0,0,3.35625,3.35625,1.3035746276378632,0.6517873138189316,2.55625,,10,10,151,151,1,1,16.0,16.0,,0.40582474913861216,-0.11675487878337845,0.0,38.00536137800692,0.0,12.300538930002705,-0.007473156875143382,0.018129820136543275,4.02155143708985,39.15815079151779,0.6738121509552002,13.05008181591004
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,3,layer1.1.conv1,0.1467013955116272,160,338,324,0.9585798816568047,0.013286163522012577,0.026572327044025155,4.225,2.1125,2.1125,48,0,37,11,-0.13772201261569725,4856,,-184,-3341,17,0,0,3.1125,3.1125,1.3074641942977905,0.6537320971488952,2.35,,18,18,143,143,1,1,8.88888888888889,8.88888888888889,,0.2342000993689706,-0.02959536217557075,0.0,48.05906075213757,0.0,14.161672707711153,-0.0771458264743619,0.010551307243000622,3.9490745734637613,49.0840253218292,0.7508542537689209,14.682938438323598
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,4,layer1.1.conv2,0.109375,160,252,248,0.9841269841269841,0.00990566037735849,0.01981132075471698,3.15,1.575,1.575,36,0,47,12,-0.0641475997720278,2784,,-184,-3354,30,0,0,2.575,2.575,0.8755757123231888,0.4377878561615944,1.8125,,31,31,130,130,1,1,5.161290322580645,5.161290322580645,,0.20243876230790378,-0.32111981593709826,0.0,36.06349277705028,0.0,10.994153917466525,-0.14044756275858247,0.018845291519274603,2.90961993340518,37.094777094678875,0.7348006963729858,11.497487016493539
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,5,layer1.2.conv1,0.0850694477558136,160,196,189,0.9642857142857143,0.007704402515723271,0.015408805031446543,2.45,1.225,1.225,34,0,59,14,-0.10087145568998368,2014,,-184,-3355,31,0,0,2.225,2.225,0.7689966678619384,0.3844983339309692,1.3875,,32,32,129,129,1,1,5.0,5.0,,-0.046091982672941845,1.0,0.0,33.98265321662814,0.0,10.224637116749227,-0.2741705178139499,-0.02922075410614153,1.9446964819572985,35.050610983418736,0.43335962295532227,10.822958262670628
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,6,layer1.2.conv2,0.0833333358168602,160,192,188,0.9791666666666666,0.007547169811320755,0.01509433962264151,2.4,1.2,1.2,25,0,45,15,0.058109219782279356,1531,,-184,-3367,43,0,0,2.2,2.2,0.6514805078506469,0.32574025392532346,1.3625,,44,44,117,117,1,1,3.6363636363636362,3.6363636363636362,,-0.1138069689760824,1.0,0.0,24.982471995672654,0.0,6.115239452357914,-0.14625938464449134,0.05856750279144685,2.164463972858724,26.127595977705838,0.2533024549484253,6.544196957950309
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,7,layer2.0.conv1,0.0616319440305233,176,284,276,0.971830985915493,0.00922077922077922,0.01844155844155844,3.227272727272727,1.6136363636363635,1.6136363636363635,24,0,51,29,0.06613776015587441,1770,,-168,-3348,24,0,0,2.6136363636363638,2.6136363636363638,0.911747423762625,0.4558737118813125,1.8295454545454546,,25,25,152,152,1,1,7.04,7.04,,0.08909204719125141,-0.0918320809028867,0.0,23.97142266088884,0.0,5.566917311020515,-0.00635439300132667,0.019842296028442705,2.0493342529477196,25.17470778162686,0.176122784614563,6.0617782508023685
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,8,layer2.0.conv2,0.0285373255610466,320,263,258,0.9809885931558935,0.0025764106583072103,0.005152821316614421,1.64375,0.821875,0.821875,31,0,84,27,0.056198456268097066,1860,,-168,-3320,140,0,0,1.821875,1.821875,0.5050381660461426,0.2525190830230713,0.96875,,144,144,169,169,1,1,2.2222222222222223,2.2222222222222223,,1.9504190570559277,1.0,0.0,31.038568404978236,0.0,10.090116693301438,-0.5887478408413005,-0.02465463383901176,1.6936110694669395,32.05837528407853,0.8744091987609863,10.966256627133925
0.129,grasp,0.98,Resnet-20,tinyimagenet,0,9,layer2.0.shortcut.0,0.173828125,48,89,89,1.0,0.03945035460992908,0.07890070921985816,3.7083333333333335,1.8541666666666667,1.8541666666666667,11,1,4,4,-0.07462656074636227,352,,-168,-3452,0,0,0,2.8541666666666665,2.8541666666666665,1.1628390947977703,0.5814195473988851,2.5625,,1,1,48,48,48,48,48.0,48.0,,0.06241341483889103,-0.012078052608128638,0.0,5.2278786816808935,0.0,1.5993856492900616,0.2882287046150156,0.06454272551525624,1.108864757499438,12.344283276207753,0.36725568771362305,5.239023050882292
