accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.3182,0.98,0,CONV-6,tinyimagenet,0,convs1.0,,,0.2030555323440095,0.3414351940155029,590.0,1728.0
0.3182,0.98,0,CONV-6,tinyimagenet,1,convs1.3,0.4830085966322157,0.026587726148603,-0.0593152869233445,0.1298285573720932,4786.0,36864.0
0.3182,0.98,0,CONV-6,tinyimagenet,3,convs1.7,0.2690677113003201,-0.0112896810077895,-0.1135424441695348,0.0858018696308136,6326.0,73728.0
0.3182,0.98,0,CONV-6,tinyimagenet,4,convs1.10,0.2009092450141906,-0.1053549798607696,-0.3072459210919144,0.0450439453125,6642.0,147456.0
0.3182,0.98,0,CONV-6,tinyimagenet,6,convs1.14,0.1236586173375447,-0.1327214290476713,-0.3910289372412738,0.025838216766715,7620.0,294912.0
0.3182,0.98,0,CONV-6,tinyimagenet,7,convs1.17,0.2166116833686828,-0.3466935619268215,-0.6480449478693802,0.0073835584335029,4355.0,589824.0
0.3182,0.98,0,CONV-6,tinyimagenet,9,linear.0,0.0850998163223266,-0.7493733076233033,-1.5631658180527936,0.003005027770996,3151.0,1048576.0
0.3182,0.98,0,CONV-6,tinyimagenet,10,linear.3,,,-0.0032792655153301,0.0796356201171875,5219.0,65536.0
0.3182,0.98,0,CONV-6,tinyimagenet,11,linear.6,0.9322724342346193,0.0642840419735754,0.0584544675619394,0.1466601490974426,7509.0,51200.0
0.3112,0.98,1,CONV-6,tinyimagenet,0,convs1.0,,,0.2100946899066506,0.3483796417713165,602.0,1728.0
0.3112,0.98,1,CONV-6,tinyimagenet,1,convs1.3,0.5045355293485854,0.003264043081767,-0.0922621934765952,0.1169162318110466,4310.0,36864.0
0.3112,0.98,1,CONV-6,tinyimagenet,3,convs1.7,0.3867484501429966,-0.0317831963383883,-0.1128725829712198,0.0813530832529068,5998.0,73728.0
0.3112,0.98,1,CONV-6,tinyimagenet,4,convs1.10,0.2042088111241658,-0.0657365806769772,-0.2195915562795646,0.0481160469353199,7095.0,147456.0
0.3112,0.98,1,CONV-6,tinyimagenet,6,convs1.14,0.1941856861114502,-0.1589124438727067,-0.3675441713890098,0.0261298287659883,7706.0,294912.0
0.3112,0.98,1,CONV-6,tinyimagenet,7,convs1.17,0.1394557952880859,-0.2633730465262144,-0.6203268821549331,0.0081651471555233,4816.0,589824.0
0.3112,0.98,1,CONV-6,tinyimagenet,9,linear.0,,,-0.7924284414166197,0.0023250579833984,2438.0,1048576.0
0.3112,0.98,1,CONV-6,tinyimagenet,10,linear.3,,,0.0129032902734433,0.0825042724609375,5407.0,65536.0
0.3112,0.98,1,CONV-6,tinyimagenet,11,linear.6,0.9148144721984864,0.0447123528734507,0.0804643741890705,0.1528515666723251,7826.0,51200.0
0.3172,0.98,2,CONV-6,tinyimagenet,0,convs1.0,,,0.2093534712185448,0.3570601940155029,617.0,1728.0
0.3172,0.98,2,CONV-6,tinyimagenet,1,convs1.3,0.4030440383487277,-0.0014540112730188,-0.0823183655765612,0.1244032084941864,4586.0,36864.0
0.3172,0.98,2,CONV-6,tinyimagenet,3,convs1.7,0.3348852694034576,0.008664485838207,-0.1261382410398803,0.0823839008808136,6074.0,73728.0
0.3172,0.98,2,CONV-6,tinyimagenet,4,convs1.10,0.1917831659317016,-0.0940761989987138,-0.227851638912146,0.0484551340341568,7145.0,147456.0
0.3172,0.98,2,CONV-6,tinyimagenet,6,convs1.14,0.1392014324665069,-0.1094461185871491,-0.3212149864969184,0.0258280429989099,7617.0,294912.0
0.3172,0.98,2,CONV-6,tinyimagenet,7,convs1.17,0.0315966010093688,-0.3058700133417177,-0.6240632391891358,0.0079718697816133,4702.0,589824.0
0.3172,0.98,2,CONV-6,tinyimagenet,9,linear.0,,,-0.9764583077771718,0.0025548934936523,2679.0,1048576.0
0.3172,0.98,2,CONV-6,tinyimagenet,10,linear.3,,,-0.010883432673402,0.0846099853515625,5545.0,65536.0
0.3172,0.98,2,CONV-6,tinyimagenet,11,linear.6,0.9532763957977296,0.0739638791619441,0.0525163230749732,0.1412695348262787,7233.0,51200.0
0.3296,0.98,0,CONV-6,tinyimagenet,0,convs1.0,3.1551056702931723,0.7012710729698827,0.6268916985195269,0.8692129850387573,1502.0,1728.0
0.3296,0.98,0,CONV-6,tinyimagenet,1,convs1.3,0.8871666651505691,0.2076280230323353,0.174833650068035,0.1561143696308136,5755.0,36864.0
0.3296,0.98,0,CONV-6,tinyimagenet,3,convs1.7,0.9102481092725482,0.2555214349234614,0.2199796422471122,0.0742865651845932,5477.0,73728.0
0.3296,0.98,0,CONV-6,tinyimagenet,4,convs1.10,1.2110166748364766,0.246613921542643,0.2215907257197257,0.0367838554084301,5424.0,147456.0
0.3296,0.98,0,CONV-6,tinyimagenet,6,convs1.14,0.9650083283583324,0.2097812094189821,0.1557737452661885,0.0196702741086483,5801.0,294912.0
0.3296,0.98,0,CONV-6,tinyimagenet,7,convs1.17,1.230888605117798,0.231805408967396,0.2115757920006603,0.0092196995392441,5438.0,589824.0
0.3296,0.98,0,CONV-6,tinyimagenet,9,linear.0,0.6329374824251447,0.1591486028187815,0.1003851941154232,0.0059366226196289,6225.0,1048576.0
0.3296,0.98,0,CONV-6,tinyimagenet,10,linear.3,1.8144065141677856,0.3563934435537099,0.3526265135534041,0.0676116943359375,4431.0,65536.0
0.3296,0.98,0,CONV-6,tinyimagenet,11,linear.6,,,0.1434524567411608,0.1206640601158142,6178.0,51200.0
0.3311,0.98,1,CONV-6,tinyimagenet,0,convs1.0,3.079699675242106,0.660173667663948,0.6434028186922038,0.8715277910232544,1506.0,1728.0
0.3311,0.98,1,CONV-6,tinyimagenet,1,convs1.3,0.7937119881312052,0.1876183466203914,0.13935631601811,0.159912109375,5895.0,36864.0
0.3311,0.98,1,CONV-6,tinyimagenet,3,convs1.7,0.8022751659154892,0.2256433592494555,0.2039381030014108,0.0755072683095932,5567.0,73728.0
0.3311,0.98,1,CONV-6,tinyimagenet,4,convs1.10,1.101704899753843,0.2589034967321843,0.2259983337211598,0.0361395925283432,5329.0,147456.0
