accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.8635,0.98,0,CONV-6,CIFAR-10,0,convs1.0,,,0.2384922473386005,0.3848379552364349,665.0,1728.0
0.8635,0.98,0,CONV-6,CIFAR-10,1,convs1.3,0.5401112599806352,0.0708821690022756,0.0016005676749658,0.1708441823720932,6298.0,36864.0
0.8635,0.98,0,CONV-6,CIFAR-10,3,convs1.7,0.3818430575457486,0.0322921349640132,-0.0404282286955509,0.1095920130610466,8080.0,73728.0
0.8635,0.98,0,CONV-6,CIFAR-10,4,convs1.10,0.259245747869665,-0.0428145183515313,-0.0910775015375025,0.0598483607172966,8825.0,147456.0
0.8635,0.98,0,CONV-6,CIFAR-10,6,convs1.14,0.1306525468826294,-0.1106812399235648,-0.2655563367708768,0.028076171875,8280.0,294912.0
0.8635,0.98,0,CONV-6,CIFAR-10,7,convs1.17,0.1508596539497375,-0.286757336574595,-0.639627498346033,0.0076141357421875,4491.0,589824.0
0.8635,0.98,0,CONV-6,CIFAR-10,9,linear.0,,,-0.9658188981276588,0.0017766952514648,1863.0,1048576.0
0.8635,0.98,0,CONV-6,CIFAR-10,10,linear.3,,,-0.0827115991098474,0.0809783935546875,5307.0,65536.0
0.8635,0.98,0,CONV-6,CIFAR-10,11,linear.6,1.3602542536599296,0.410394318702434,0.3345293393030121,0.5531250238418579,1416.0,2560.0
0.8577,0.98,1,CONV-6,CIFAR-10,0,convs1.0,,,0.2378594168782675,0.3900462985038757,674.0,1728.0
0.8577,0.98,1,CONV-6,CIFAR-10,1,convs1.3,0.5422792543064464,0.0766687899477055,0.0483280516673149,0.1800672709941864,6638.0,36864.0
0.8577,0.98,1,CONV-6,CIFAR-10,3,convs1.7,0.3341979005120017,0.0327818535380616,-0.0308123709561382,0.1103515625,8136.0,73728.0
0.8577,0.98,1,CONV-6,CIFAR-10,4,convs1.10,0.274356883764267,-0.0433532588803935,-0.1537550129097871,0.0604112409055233,8908.0,147456.0
