accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.5209,0.98,0,CONV-6,CIFAR-100,0,convs1.0,,,0.2592378895993279,0.3431712985038757,593.0,1728.0
0.5209,0.98,0,CONV-6,CIFAR-100,1,convs1.3,0.4962261617183685,-0.00464438703509,-0.0978642270660928,0.1234809011220932,4552.0,36864.0
0.5209,0.98,0,CONV-6,CIFAR-100,3,convs1.7,0.3290141026178996,0.0167140480357443,-0.1161051736629433,0.0930040180683136,6857.0,73728.0
0.5209,0.98,0,CONV-6,CIFAR-100,4,convs1.10,0.1928841935263739,-0.108536436554164,-0.3015346230205057,0.0468275286257267,6905.0,147456.0
0.5209,0.98,0,CONV-6,CIFAR-100,6,convs1.14,0.1664246320724487,-0.1324703566031031,-0.348873534709036,0.0238783098757267,7042.0,294912.0
0.5209,0.98,0,CONV-6,CIFAR-100,7,convs1.17,0.0528675317764282,-0.4084819132364858,-0.5512348555302745,0.0080888532102108,4771.0,589824.0
0.5209,0.98,0,CONV-6,CIFAR-100,9,linear.0,0.1143602132797241,-0.7705835683212074,-1.5709163469689706,0.003335952758789,3498.0,1048576.0
0.5209,0.98,0,CONV-6,CIFAR-100,10,linear.3,,,-0.0462866643512855,0.0887298583984375,5815.0,65536.0
0.5209,0.98,0,CONV-6,CIFAR-100,11,linear.6,1.153696346282959,0.1335563421356736,0.1197532890460369,0.2208203077316284,5653.0,25600.0
0.5281,0.98,1,CONV-6,CIFAR-100,0,convs1.0,,,0.2107629410253726,0.349537044763565,604.0,1728.0
0.5281,0.98,1,CONV-6,CIFAR-100,1,convs1.3,0.4892332196235657,0.0144020501315579,-0.0514092471160155,0.1321071982383728,4870.0,36864.0
0.5281,0.98,1,CONV-6,CIFAR-100,3,convs1.7,0.3768155932426452,0.0091969472684795,-0.1230976809889195,0.0866292342543602,6387.0,73728.0
0.5281,0.98,1,CONV-6,CIFAR-100,4,convs1.10,0.2165734105639987,-0.0975442848066139,-0.1807353843723065,0.0425279401242733,6271.0,147456.0
0.5281,0.98,1,CONV-6,CIFAR-100,6,convs1.14,0.2399384260177612,-0.1580794394473277,-0.4064632861655443,0.0242038294672966,7138.0,294912.0
0.5281,0.98,1,CONV-6,CIFAR-100,7,convs1.17,0.036677598953247,-0.3492246963945726,-0.7097357523451235,0.0080922441557049,4773.0,589824.0
0.5281,0.98,1,CONV-6,CIFAR-100,9,linear.0,0.054545521736145,-0.5929849767030775,-1.388092152755381,0.0035276412963867,3699.0,1048576.0
0.5281,0.98,1,CONV-6,CIFAR-100,10,linear.3,,,-0.0185422727614729,0.090545654296875,5934.0,65536.0
0.5281,0.98,1,CONV-6,CIFAR-100,11,linear.6,1.14541095495224,0.1474247695716168,0.1164428466076291,0.2347656190395355,6010.0,25600.0
0.5181,0.98,2,CONV-6,CIFAR-100,0,convs1.0,,,0.2603728382003609,0.3663194477558136,633.0,1728.0
0.5181,0.98,2,CONV-6,CIFAR-100,1,convs1.3,0.427722704410553,0.0379332973120705,-0.0680293919684914,0.1375054270029068,5069.0,36864.0
0.5181,0.98,2,CONV-6,CIFAR-100,3,convs1.7,0.3392298883861965,0.0063739081033276,-0.1227901034404284,0.0911187082529068,6718.0,73728.0
0.5181,0.98,2,CONV-6,CIFAR-100,4,convs1.10,0.2741094695197211,-0.0934900711406493,-0.2127602324616374,0.0490790456533432,7237.0,147456.0
0.5181,0.98,2,CONV-6,CIFAR-100,6,convs1.14,,,-0.3296064824134489,0.0241427943110466,7120.0,294912.0
0.5181,0.98,2,CONV-6,CIFAR-100,7,convs1.17,0.0473608970642089,-0.3508112314783015,-0.6956509762041478,0.0082058375701308,4840.0,589824.0
0.5181,0.98,2,CONV-6,CIFAR-100,9,linear.0,0.2896958589553833,-0.6523582166340958,-1.4713631126429427,0.0027933120727539,2929.0,1048576.0
0.5181,0.98,2,CONV-6,CIFAR-100,10,linear.3,,,-0.0372520383380947,0.083526611328125,5474.0,65536.0
