accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,0,conv1,0.4323536157608032,0.3411857574316116,0.2938135282831404,0.4560185074806213,197.0,432.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,1,block1.layer.0.conv1,0.2080686943871634,0.1477271007989355,0.1382014794387325,0.2541232705116272,1171.0,4608.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,2,block1.layer.0.conv2,0.194167111068964,0.1078784261178849,0.0592153915108745,0.1795789897441864,1655.0,9216.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,3,block1.layer.0.convShortcut,,,0.1420906461261945,0.33984375,174.0,512.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,4,block1.layer.1.conv1,0.1710400921957833,0.062076115691986,0.0551338692770413,0.1504991352558136,1387.0,9216.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,5,block1.layer.1.conv2,0.1296933939059575,0.0588310540641271,-0.01758795442103,0.1444227397441864,1331.0,9216.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,6,block1.layer.2.conv1,0.0878750920295715,0.0453123541858146,-0.0098068862344525,0.1226128488779068,1130.0,9216.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,7,block1.layer.2.conv2,0.1507581114768982,0.0545930099375672,0.0101251329022836,0.1317274272441864,1214.0,9216.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,8,block1.layer.3.conv1,0.113194132844607,0.0692080593846296,0.0050451256865228,0.1163194477558136,1072.0,9216.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,9,block1.layer.3.conv2,0.1584114879369735,0.0278975275081989,-0.0154332080877336,0.1090494766831398,1005.0,9216.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,10,block2.layer.0.conv1,0.0929120302200317,0.0102151726861876,0.0086676207057647,0.0972222238779068,1792.0,18432.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,11,block2.layer.0.conv2,0.1123405843973159,-0.0801622131274668,-0.1346005893323367,0.05126953125,1890.0,36864.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,12,block2.layer.0.convShortcut,,,0.0567265331580043,0.19091796875,391.0,2048.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,13,block2.layer.1.conv1,0.1484098434448242,-0.1002485474091204,-0.1463569421911335,0.0371636301279068,1370.0,36864.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,14,block2.layer.1.conv2,0.0766182541847229,-0.1025971218892508,-0.144227756008246,0.0377875417470932,1393.0,36864.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,15,block2.layer.2.conv1,0.0448441505432128,-0.1146470467032756,-0.2369214222045229,0.0273166224360466,1007.0,36864.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,16,block2.layer.2.conv2,0.1124144792556762,-0.1979647826090283,-0.2666638580917223,0.028401693329215,1047.0,36864.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,17,block2.layer.3.conv1,,,-0.2864229814432576,0.0174696184694767,644.0,36864.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,18,block2.layer.3.conv2,0.0887957215309143,-0.1267661334161858,-0.3375882899303816,0.0230034720152616,848.0,36864.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,19,block3.layer.0.conv1,,,-0.3805220641051186,0.0174696184694767,1288.0,73728.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,20,block3.layer.0.conv2,,,-0.7439433152870389,0.0060560437850654,893.0,147456.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,21,block3.layer.0.convShortcut,,,0.0020677154818379,0.1151123046875,943.0,8192.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,22,block3.layer.1.conv1,,,-0.9583708770418932,0.0037027995567768,546.0,147456.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,23,block3.layer.1.conv2,,,-0.8138903760158208,0.0053371852263808,787.0,147456.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,24,block3.layer.2.conv1,,,-0.8573908915407715,0.0031806097831577,469.0,147456.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,25,block3.layer.2.conv2,,,-0.9580348961181688,0.0039198133163154,578.0,147456.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,26,block3.layer.3.conv1,,,-0.7587760945716203,0.0020005968399345,295.0,147456.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,27,block3.layer.3.conv2,,,-1.1630457031319916,0.0022243922576308,328.0,147456.0
0.553,0.98,0,Wide-Resnet-28-2,CIFAR-100,28,fc,0.5896902084350586,0.063949563383288,0.1198800730017415,0.2083593755960464,2667.0,12800.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,0,conv1,0.7111061811447144,0.3897513519224487,0.3368593566908597,0.4467592537403106,193.0,432.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,1,block1.layer.0.conv1,0.369198073943456,0.182091166812133,0.1507144033079097,0.2723524272441864,1255.0,4608.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,2,block1.layer.0.conv2,0.1941782321248735,0.0726260003249843,0.0491046348718576,0.2073567658662796,1911.0,9216.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,3,block1.layer.0.convShortcut,,,0.2011506044611574,0.361328125,185.0,512.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,4,block1.layer.1.conv1,0.1645828485488891,0.1104530403820577,0.0138360005241357,0.1715494841337204,1581.0,9216.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,5,block1.layer.1.conv2,0.1891855299472808,0.0035760258572853,-0.0319647428034035,0.1383463591337204,1275.0,9216.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,6,block1.layer.2.conv1,0.1237143397331237,0.038573369927268,-0.0247618489860278,0.1153428852558136,1063.0,9216.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,7,block1.layer.2.conv2,0.1390753626823425,0.0311648871432873,-0.0390735405864463,0.1086154505610466,1001.0,9216.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,8,block1.layer.3.conv1,0.0904959440231323,0.0253635611475056,-0.0887560497591358,0.0934244766831398,861.0,9216.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,9,block1.layer.3.conv2,0.1533276081085205,0.0441869643018227,-0.0933584495810159,0.0946180522441864,872.0,9216.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,10,block2.layer.0.conv1,0.0699969331423441,0.0022505097599249,-0.1191535080089773,0.0774739608168602,1428.0,18432.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,11,block2.layer.0.conv2,0.0943245738744735,-0.1124188321723082,-0.3268402484586632,0.037353515625,1377.0,36864.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,12,block2.layer.0.convShortcut,,,0.0565227655018072,0.18017578125,369.0,2048.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,13,block2.layer.1.conv1,0.0725883245468139,-0.1812582676108683,-0.3620970513071882,0.0237087681889534,874.0,36864.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,14,block2.layer.1.conv2,0.041066288948059,-0.1820929417188632,-0.3103398169864421,0.024658203125,909.0,36864.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,15,block2.layer.2.conv1,,,-0.3894670203931435,0.0178493931889534,658.0,36864.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,16,block2.layer.2.conv2,0.1239480376243591,-0.1660319671304985,-0.4094284070876415,0.0201280377805233,742.0,36864.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,17,block2.layer.3.conv1,,,-0.3547400972735363,0.0116644967347383,430.0,36864.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,18,block2.layer.3.conv2,,,-0.4689604445278803,0.015869140625,585.0,36864.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,19,block3.layer.0.conv1,,,-0.4743141247001138,0.0166151262819767,1225.0,73728.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,20,block3.layer.0.conv2,,,-0.9068255511322404,0.0077853733673691,1148.0,147456.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,21,block3.layer.0.convShortcut,,,-0.1202231326746219,0.0958251953125,785.0,8192.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,22,block3.layer.1.conv1,,,-0.7823303856255119,0.0055135092698037,813.0,147456.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,23,block3.layer.1.conv2,0.0962542295455932,-0.3425556300387653,-0.7566728270119545,0.0095486110076308,1408.0,147456.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,24,block3.layer.2.conv1,,,-0.770158112052996,0.0038519965019077,568.0,147456.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,25,block3.layer.2.conv2,0.1908354759216308,-0.3240878573565078,-0.8220155895653488,0.0077650281600654,1145.0,147456.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,26,block3.layer.3.conv1,,,-0.7335224989427157,0.0055067273788154,812.0,147456.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,27,block3.layer.3.conv2,,,-0.9131502710155112,0.0074734156951308,1102.0,147456.0
0.5392,0.98,1,Wide-Resnet-28-2,CIFAR-100,28,fc,,,0.1386672949619037,0.2294531315565109,2937.0,12800.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,0,conv1,,,0.2866212744795001,0.4282407462596893,185.0,432.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,1,block1.layer.0.conv1,0.2666712743895394,0.1759939924698748,0.1370102621613647,0.2582465410232544,1190.0,4608.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,2,block1.layer.0.conv2,0.1645200103521347,0.0755552252848809,0.0252110676978132,0.1876085102558136,1729.0,9216.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,3,block1.layer.0.convShortcut,,,0.1814250113945705,0.267578125,137.0,512.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,4,block1.layer.1.conv1,0.1338748832543691,0.0606585861183006,0.0053192437004233,0.1570095419883728,1447.0,9216.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,5,block1.layer.1.conv2,0.1195136308670044,0.0327309678541492,0.0172434447627925,0.1470269113779068,1355.0,9216.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,6,block1.layer.2.conv1,0.103524977962176,0.0746854309804104,0.0088983808257813,0.1283637136220932,1183.0,9216.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,7,block1.layer.2.conv2,0.1521803259849548,0.0552416043989423,-0.0155522127377829,0.1285807341337204,1185.0,9216.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,8,block1.layer.3.conv1,0.0975247621536254,-0.0061501186197431,-0.0429814731680297,0.1076388880610466,992.0,9216.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,9,block1.layer.3.conv2,0.1607360243797302,0.0293731791784128,-0.0080279147485859,0.1077473983168602,993.0,9216.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,10,block2.layer.0.conv1,0.088659644126892,-0.0084324919964127,-0.0794534643587181,0.0890299454331398,1641.0,18432.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,11,block2.layer.0.conv2,0.0569803267717361,-0.0921032704813397,-0.1614870418212358,0.04736328125,1746.0,36864.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,12,block2.layer.0.convShortcut,,,0.1411829283562617,0.2119140625,434.0,2048.0
0.5604,0.98,2,Wide-Resnet-28-2,CIFAR-100,13,block2.layer.1.conv1,0.0779642164707183,-0.1346304512773372,-0.1895471463194732,0.03564453125,1314.0,36864.0
