accuracy,sparsity,seed,model,dataset,layer_id,layer_name,iterative_spectral_gap,iterative_degree_bound,degree_bound,layer_sparsity,no_weights,no_params
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,0,conv1,,,0.3081347283621386,0.4375,189.0,432.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,1,block1.layer.0.conv1,1.312073032061259,0.1917086923834331,0.1361186777896942,0.2779947817325592,1281.0,4608.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,2,block1.layer.0.conv2,0.7706419825553894,0.111582683140704,0.0712710520663514,0.2020399272441864,1862.0,9216.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,3,block1.layer.0.convShortcut,,,0.2983757179739741,0.36328125,186.0,512.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,4,block1.layer.1.conv1,0.8096088767051697,0.1252957085837608,0.0677547482195786,0.1962890625,1809.0,9216.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,5,block1.layer.1.conv2,0.6788131679807391,0.0560253999654342,-0.0548557159218896,0.1496310830116272,1379.0,9216.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,6,block1.layer.2.conv1,0.5954149450574603,0.0473294979931627,-0.0101972136017729,0.1529947966337204,1410.0,9216.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,7,block1.layer.2.conv2,0.5972581505775452,0.0532231500152663,-0.0093034772104073,0.1188151016831398,1095.0,9216.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,8,block1.layer.3.conv1,0.563566118478775,0.0060583910563018,-0.1893337307593494,0.1034071147441864,953.0,9216.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,9,block1.layer.3.conv2,0.4465296864509582,-0.0052757660971382,-0.1062735690859648,0.0972222238779068,896.0,9216.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,10,block2.layer.0.conv1,0.534974217414856,0.0500809123978889,-0.132250171889614,0.0890299454331398,1641.0,18432.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,11,block2.layer.0.conv2,0.3714078903198242,-0.0867215042150295,-0.3063844411228348,0.0509168840944767,1877.0,36864.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,12,block2.layer.0.convShortcut,,,0.1010947248968514,0.1904296875,390.0,2048.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,13,block2.layer.1.conv1,0.4743235111236572,-0.1091149985291617,-0.3827809838275955,0.0267198346555233,985.0,36864.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,14,block2.layer.1.conv2,0.1129642724990844,-0.146120106169963,-0.3387380168230227,0.028076171875,1035.0,36864.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,15,block2.layer.2.conv1,,,-0.5953791727837698,0.022786458954215,840.0,36864.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,16,block2.layer.2.conv2,,,-0.3591671824235926,0.0196668840944767,725.0,36864.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,17,block2.layer.3.conv1,0.1827331781387329,-0.1841050615593991,-0.5176815039766522,0.017333984375,639.0,36864.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,18,block2.layer.3.conv2,,,-0.5226244113778558,0.0175509974360466,647.0,36864.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,19,block3.layer.0.conv1,,,-0.4958108898009367,0.0145128034055233,1070.0,73728.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,20,block3.layer.0.conv2,,,-0.7797420364652917,0.0067613390274345,997.0,147456.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,21,block3.layer.0.convShortcut,,,-0.0768487269068125,0.0899658203125,737.0,8192.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,22,block3.layer.1.conv1,,,-0.7479163315284284,0.0040283203125,594.0,147456.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,23,block3.layer.1.conv2,0.2638105154037475,-0.2214013352107018,-0.9905152292603276,0.0063205296173691,932.0,147456.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,24,block3.layer.2.conv1,,,-1.0606878479311233,0.0035875109024345,529.0,147456.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,25,block3.layer.2.conv2,,,-0.7946768852693907,0.0038655598182231,570.0,147456.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,26,block3.layer.3.conv1,,,-0.7763479354017063,0.0029500324744731,435.0,147456.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,27,block3.layer.3.conv2,,,-1.0469383967278494,0.0048149954527616,710.0,147456.0
0.3,0.98,0,Wide-Resnet-28-2,tinyimagenet,28,fc,,,-0.0654629318101783,0.1310546845197677,3355.0,25600.0
0.3138,0.98,1,Wide-Resnet-28-2,tinyimagenet,0,conv1,,,0.2722182462553699,0.4097222089767456,177.0,432.0
0.3138,0.98,1,Wide-Resnet-28-2,tinyimagenet,1,block1.layer.0.conv1,1.2841528256734211,0.1826951796002807,0.136981373311421,0.2588975727558136,1193.0,4608.0
